true_angle,semi_major_axis,semi_minor_axis,eccentricity,mean_x,mean_y,std_x,std_y
0,1.311,1.257,0.284,-3.503,-0.001,0.553,0.554
0,1.316,1.265,0.277,-3.503,-0.001,0.553,0.554
0,1.286,1.216,0.326,-3.503,-0.001,0.553,0.554
0,1.279,1.129,0.471,-3.503,-0.001,0.553,0.554
0,1.31,1.164,0.458,-3.503,-0.001,0.553,0.554
0,1.346,1.169,0.496,-3.503,-0.001,0.553,0.554
0,1.255,1.141,0.415,-3.503,-0.001,0.553,0.554
0,1.325,1.126,0.527,-3.503,-0.001,0.553,0.554
0,1.288,1.2,0.364,-3.503,-0.001,0.553,0.554
0,1.356,1.267,0.357,-3.503,-0.001,0.553,0.554
0,1.332,1.261,0.323,-3.503,-0.001,0.553,0.554
0,1.348,1.22,0.426,-3.503,-0.001,0.553,0.554
0,1.272,1.082,0.526,-3.503,-0.001,0.553,0.554
0,1.335,1.263,0.322,-3.503,-0.001,0.553,0.554
0,1.362,1.206,0.466,-3.503,-0.001,0.553,0.554
0,1.344,1.205,0.443,-3.503,-0.001,0.553,0.554
0,1.237,1.119,0.427,-3.503,-0.001,0.553,0.554
0,1.271,1.139,0.445,-3.503,-0.001,0.553,0.554
0,1.279,1.184,0.379,-3.503,-0.001,0.553,0.554
0,1.332,1.254,0.337,-3.503,-0.001,0.553,0.554
0,1.178,1.11,0.335,-3.503,-0.001,0.553,0.554
0,1.35,1.126,0.552,-3.503,-0.001,0.553,0.554
0,1.31,1.307,0.07,-3.503,-0.001,0.553,0.554
0,1.287,1.21,0.341,-3.503,-0.001,0.553,0.554
0,1.282,1.225,0.294,-3.503,-0.001,0.553,0.554
0,1.289,1.239,0.276,-3.503,-0.001,0.553,0.554
0,1.309,1.208,0.384,-3.503,-0.001,0.553,0.554
0,1.721,1.111,0.764,-3.503,-0.001,0.553,0.554
0,1.288,1.154,0.443,-3.503,-0.001,0.553,0.554
0,1.257,1.237,0.177,-3.503,-0.001,0.553,0.554
0,1.308,1.051,0.595,-3.503,-0.001,0.553,0.554
0,1.287,1.246,0.251,-3.503,-0.001,0.553,0.554
0,1.343,1.232,0.399,-3.503,-0.001,0.553,0.554
0,1.303,1.215,0.362,-3.503,-0.001,0.553,0.554
0,1.305,1.202,0.39,-3.503,-0.001,0.553,0.554
0,1.32,1.132,0.514,-3.503,-0.001,0.553,0.554
0,1.259,1.116,0.462,-3.503,-0.001,0.553,0.554
0,1.335,1.185,0.46,-3.503,-0.001,0.553,0.554
0,1.347,1.15,0.521,-3.503,-0.001,0.553,0.554
0,1.346,1.248,0.374,-3.503,-0.001,0.553,0.554
0,1.278,1.219,0.301,-3.503,-0.001,0.553,0.554
0,1.335,1.297,0.239,-3.503,-0.001,0.553,0.554
0,1.329,1.117,0.542,-3.503,-0.001,0.553,0.554
0,1.322,1.208,0.406,-3.503,-0.001,0.553,0.554
0,1.274,1.218,0.291,-3.503,-0.001,0.553,0.554
0,1.316,1.146,0.492,-3.503,-0.001,0.553,0.554
0,1.332,1.197,0.438,-3.503,-0.001,0.553,0.554
0,1.312,1.201,0.403,-3.503,-0.001,0.553,0.554
0,1.324,1.15,0.495,-3.503,-0.001,0.553,0.554
0,1.248,1.08,0.501,-3.503,-0.001,0.553,0.554
0,1.342,1.127,0.543,-3.503,-0.001,0.553,0.554
