true_angle,semi_major_axis,semi_minor_axis,eccentricity,mean_x,mean_y,std_x,std_y
0,1.308,1.273,0.23,-3.496,0.008,0.547,0.564
0,1.314,1.261,0.281,-3.496,0.008,0.547,0.564
0,1.268,1.192,0.34,-3.496,0.008,0.547,0.564
0,1.227,1.172,0.294,-3.496,0.008,0.547,0.564
0,1.282,1.21,0.329,-3.496,0.008,0.547,0.564
0,1.32,1.15,0.491,-3.496,0.008,0.547,0.564
0,1.274,1.167,0.4,-3.496,0.008,0.547,0.564
0,1.304,1.282,0.182,-3.496,0.008,0.547,0.564
0,1.267,1.227,0.248,-3.496,0.008,0.547,0.564
0,1.295,1.268,0.203,-3.496,0.008,0.547,0.564
0,1.321,1.019,0.636,-3.496,0.008,0.547,0.564
0,1.288,1.239,0.274,-3.496,0.008,0.547,0.564
0,1.293,1.243,0.274,-3.496,0.008,0.547,0.564
0,1.318,1.235,0.349,-3.496,0.008,0.547,0.564
0,1.318,1.191,0.429,-3.496,0.008,0.547,0.564
0,1.282,1.167,0.413,-3.496,0.008,0.547,0.564
0,1.316,1.099,0.55,-3.496,0.008,0.547,0.564
0,1.255,1.209,0.268,-3.496,0.008,0.547,0.564
0,1.279,1.087,0.528,-3.496,0.008,0.547,0.564
0,1.267,1.214,0.285,-3.496,0.008,0.547,0.564
0,1.298,1.138,0.481,-3.496,0.008,0.547,0.564
0,1.244,1.163,0.353,-3.496,0.008,0.547,0.564
0,1.36,1.146,0.538,-3.496,0.008,0.547,0.564
0,1.341,1.132,0.537,-3.496,0.008,0.547,0.564
0,1.294,1.211,0.352,-3.496,0.008,0.547,0.564
0,1.292,1.177,0.413,-3.496,0.008,0.547,0.564
0,1.292,1.199,0.373,-3.496,0.008,0.547,0.564
0,1.345,1.149,0.52,-3.496,0.008,0.547,0.564
0,1.324,1.261,0.305,-3.496,0.008,0.547,0.564
0,1.281,1.253,0.206,-3.496,0.008,0.547,0.564
0,1.272,1.09,0.516,-3.496,0.008,0.547,0.564
0,1.351,1.07,0.61,-3.496,0.008,0.547,0.564
0,1.322,1.253,0.319,-3.496,0.008,0.547,0.564
0,1.299,1.181,0.416,-3.496,0.008,0.547,0.564
0,1.318,1.244,0.331,-3.496,0.008,0.547,0.564
0,1.283,1.075,0.546,-3.496,0.008,0.547,0.564
0,1.259,1.188,0.331,-3.496,0.008,0.547,0.564
0,1.336,1.184,0.463,-3.496,0.008,0.547,0.564
0,1.262,1.239,0.192,-3.496,0.008,0.547,0.564
0,1.322,1.193,0.43,-3.496,0.008,0.547,0.564
0,1.252,1.22,0.225,-3.496,0.008,0.547,0.564
0,1.32,1.169,0.465,-3.496,0.008,0.547,0.564
0,1.261,1.243,0.167,-3.496,0.008,0.547,0.564
0,1.292,1.271,0.183,-3.496,0.008,0.547,0.564
0,1.216,1.14,0.346,-3.496,0.008,0.547,0.564
0,1.328,1.122,0.534,-3.496,0.008,0.547,0.564
0,1.321,1.136,0.51,-3.496,0.008,0.547,0.564
0,1.33,1.119,0.541,-3.496,0.008,0.547,0.564
0,1.329,1.198,0.434,-3.496,0.008,0.547,0.564
0,1.33,1.23,0.381,-3.496,0.008,0.547,0.564
0,1.287,1.171,0.414,-3.496,0.008,0.547,0.564
0,1.246,1.182,0.317,-3.496,0.008,0.547,0.564
0,1.28,1.182,0.383,-3.496,0.008,0.547,0.564
0,1.414,0.975,0.724,-3.496,0.008,0.547,0.564
0,1.299,1.223,0.337,-3.496,0.008,0.547,0.564
0,1.325,1.236,0.36,-3.496,0.008,0.547,0.564
0,1.326,1.187,0.446,-3.496,0.008,0.547,0.564
0,1.323,1.248,0.333,-3.496,0.008,0.547,0.564
0,1.329,1.171,0.473,-3.496,0.008,0.547,0.564
0,1.271,1.177,0.377,-3.496,0.008,0.547,0.564
0,1.334,1.236,0.376,-3.496,0.008,0.547,0.564
0,1.29,1.194,0.378,-3.496,0.008,0.547,0.564
0,1.302,1.274,0.207,-3.496,0.008,0.547,0.564
0,1.334,1.241,0.368,-3.496,0.008,0.547,0.564
0,1.299,1.208,0.369,-3.496,0.008,0.547,0.564
0,1.207,1.181,0.206,-3.496,0.008,0.547,0.564
0,1.323,1.221,0.384,-3.496,0.008,0.547,0.564
0,1.328,1.285,0.252,-3.496,0.008,0.547,0.564
0,1.278,1.226,0.281,-3.496,0.008,0.547,0.564
