true_angle,semi_major_axis,semi_minor_axis,eccentricity,mean_x,mean_y,std_x,std_y
0.0,1.305,1.228,0.338,-3.503,0.009,0.556,0.55
0.0,1.257,1.182,0.341,-3.503,0.009,0.556,0.55
0.0,1.329,1.269,0.297,-3.503,0.009,0.556,0.55
0.0,1.29,1.214,0.336,-3.503,0.009,0.556,0.55
0.0,1.284,1.134,0.468,-3.503,0.009,0.556,0.55
0.0,1.369,1.122,0.573,-3.503,0.009,0.556,0.55
0.0,1.281,1.201,0.347,-3.503,0.009,0.556,0.55
0.0,1.325,1.138,0.512,-3.503,0.009,0.556,0.55
0.0,1.304,1.264,0.245,-3.503,0.009,0.556,0.55
0.0,1.32,1.122,0.527,-3.503,0.009,0.556,0.55
0.0,1.311,1.192,0.416,-3.503,0.009,0.556,0.55
0.0,1.268,1.148,0.424,-3.503,0.009,0.556,0.55
0.0,1.293,1.202,0.367,-3.503,0.009,0.556,0.55
0.0,1.262,1.14,0.428,-3.503,0.009,0.556,0.55
0.0,1.289,1.214,0.337,-3.503,0.009,0.556,0.55
0.0,1.309,1.22,0.362,-3.503,0.009,0.556,0.55
0.0,1.371,1.146,0.549,-3.503,0.009,0.556,0.55
0.0,1.338,1.183,0.468,-3.503,0.009,0.556,0.55
0.0,1.369,1.186,0.5,-3.503,0.009,0.556,0.55
0.0,1.315,1.069,0.582,-3.503,0.009,0.556,0.55
0.0,1.217,1.145,0.341,-3.503,0.009,0.556,0.55
0.0,1.365,1.161,0.526,-3.503,0.009,0.556,0.55
0.0,1.29,1.147,0.457,-3.503,0.009,0.556,0.55
0.0,1.293,1.213,0.347,-3.503,0.009,0.556,0.55
0.0,1.279,1.206,0.333,-3.503,0.009,0.556,0.55
0.0,1.33,1.214,0.407,-3.503,0.009,0.556,0.55
0.0,1.356,1.124,0.56,-3.503,0.009,0.556,0.55
0.0,1.305,1.289,0.156,-3.503,0.009,0.556,0.55
0.0,1.254,1.223,0.22,-3.503,0.009,0.556,0.55
0.0,1.366,1.163,0.525,-3.503,0.009,0.556,0.55
0.0,1.289,1.168,0.424,-3.503,0.009,0.556,0.55
0.0,1.313,1.228,0.354,-3.503,0.009,0.556,0.55
0.0,1.294,1.263,0.216,-3.503,0.009,0.556,0.55
0.0,1.349,1.164,0.505,-3.503,0.009,0.556,0.55
0.0,1.281,1.189,0.372,-3.503,0.009,0.556,0.55
0.0,1.321,1.242,0.34,-3.503,0.009,0.556,0.55
0.0,1.284,1.166,0.419,-3.503,0.009,0.556,0.55
0.0,1.327,1.25,0.336,-3.503,0.009,0.556,0.55
0.0,1.222,1.162,0.309,-3.503,0.009,0.556,0.55
0.0,1.249,0.957,0.643,-3.503,0.009,0.556,0.55
0.0,1.301,1.234,0.317,-3.503,0.009,0.556,0.55
0.0,1.383,1.2,0.497,-3.503,0.009,0.556,0.55
0.0,1.293,1.203,0.367,-3.503,0.009,0.556,0.55
