true_angle,semi_major_axis,semi_minor_axis,eccentricity,mean_x,mean_y,std_x,std_y
0,1.322,1.283,0.242,-3.545,-0.037,0.584,0.531
0,1.326,1.276,0.272,-3.545,-0.037,0.584,0.531
0,1.299,1.183,0.413,-3.545,-0.037,0.584,0.531
0,1.299,1.196,0.391,-3.545,-0.037,0.584,0.531
0,1.271,1.111,0.485,-3.545,-0.037,0.584,0.531
0,1.322,1.141,0.505,-3.545,-0.037,0.584,0.531
0,1.313,1.18,0.439,-3.545,-0.037,0.584,0.531
0,1.236,1.134,0.397,-3.545,-0.037,0.584,0.531
0,1.256,1.179,0.344,-3.545,-0.037,0.584,0.531
0,1.312,1.21,0.388,-3.545,-0.037,0.584,0.531
1,1.353,1.141,0.538,-3.458,-0.003,0.547,0.56
1,1.282,1.195,0.364,-3.458,-0.003,0.547,0.56
1,1.44,1.171,0.582,-3.458,-0.003,0.547,0.56
1,1.286,1.13,0.477,-3.458,-0.003,0.547,0.56
1,1.225,1.202,0.194,-3.458,-0.003,0.547,0.56
1,1.274,1.139,0.447,-3.458,-0.003,0.547,0.56
1,1.364,1.118,0.573,-3.458,-0.003,0.547,0.56
1,1.302,1.215,0.361,-3.458,-0.003,0.547,0.56
1,1.295,1.217,0.342,-3.458,-0.003,0.547,0.56
1,1.309,1.195,0.408,-3.458,-0.003,0.547,0.56
2,1.284,1.156,0.434,-3.327,-0.005,0.542,0.544
2,1.293,1.207,0.359,-3.327,-0.005,0.542,0.544
2,1.367,1.178,0.507,-3.327,-0.005,0.542,0.544
2,1.4,1.045,0.665,-3.327,-0.005,0.542,0.544
2,1.364,1.175,0.508,-3.327,-0.005,0.542,0.544
2,1.401,1.154,0.567,-3.327,-0.005,0.542,0.544
2,1.306,1.236,0.321,-3.327,-0.005,0.542,0.544
2,1.301,1.153,0.464,-3.327,-0.005,0.542,0.544
2,1.308,1.145,0.484,-3.327,-0.005,0.542,0.544
2,1.345,1.125,0.547,-3.327,-0.005,0.542,0.544
3,1.311,1.212,0.381,-3.274,0.029,0.564,0.57
3,1.342,1.238,0.387,-3.274,0.029,0.564,0.57
3,1.336,1.215,0.416,-3.274,0.029,0.564,0.57
3,1.291,1.172,0.419,-3.274,0.029,0.564,0.57
3,1.327,1.26,0.315,-3.274,0.029,0.564,0.57
3,1.355,1.181,0.49,-3.274,0.029,0.564,0.57
3,1.318,1.266,0.278,-3.274,0.029,0.564,0.57
3,1.325,1.203,0.419,-3.274,0.029,0.564,0.57
3,1.283,0.977,0.648,-3.274,0.029,0.564,0.57
3,1.243,1.117,0.439,-3.274,0.029,0.564,0.57
4,1.312,1.198,0.408,-3.222,0.008,0.566,0.542
4,1.225,1.117,0.41,-3.222,0.008,0.566,0.542
4,1.261,1.173,0.367,-3.222,0.008,0.566,0.542
4,1.321,1.284,0.235,-3.222,0.008,0.566,0.542
4,1.27,1.247,0.192,-3.222,0.008,0.566,0.542
4,1.251,1.165,0.365,-3.222,0.008,0.566,0.542
4,1.295,1.222,0.331,-3.222,0.008,0.566,0.542
4,1.333,1.142,0.516,-3.222,0.008,0.566,0.542
4,1.34,1.164,0.495,-3.222,0.008,0.566,0.542
4,1.293,1.082,0.548,-3.222,0.008,0.566,0.542
5,1.378,1.185,0.51,-3.177,0.03,0.566,0.577
5,1.245,1.201,0.265,-3.177,0.03,0.566,0.577
5,1.357,1.113,0.572,-3.177,0.03,0.566,0.577
5,1.285,1.143,0.457,-3.177,0.03,0.566,0.577
5,1.24,1.17,0.332,-3.177,0.03,0.566,0.577
5,1.377,1.164,0.535,-3.177,0.03,0.566,0.577
5,1.332,1.257,0.331,-3.177,0.03,0.566,0.577
5,1.29,1.236,0.287,-3.177,0.03,0.566,0.577
5,1.318,1.192,0.426,-3.177,0.03,0.566,0.577
5,1.282,1.106,0.507,-3.177,0.03,0.566,0.577
6,1.331,1.23,0.381,-3.113,0.058,0.563,0.559
6,1.266,1.207,0.303,-3.113,0.058,0.563,0.559
6,1.322,1.207,0.409,-3.113,0.058,0.563,0.559
6,1.277,1.23,0.267,-3.113,0.058,0.563,0.559
6,1.368,1.176,0.51,-3.113,0.058,0.563,0.559
6,1.314,1.132,0.508,-3.113,0.058,0.563,0.559
6,1.29,1.261,0.21,-3.113,0.058,0.563,0.559
6,1.313,1.146,0.488,-3.113,0.058,0.563,0.559
6,1.369,1.2,0.481,-3.113,0.058,0.563,0.559
6,1.291,1.216,0.335,-3.113,0.058,0.563,0.559
7,1.358,1.233,0.42,-3.021,-0.016,0.573,0.543
7,1.417,0.982,0.721,-3.021,-0.016,0.573,0.543
7,1.228,1.17,0.302,-3.021,-0.016,0.573,0.543
7,1.284,1.19,0.376,-3.021,-0.016,0.573,0.543
7,1.363,1.129,0.56,-3.021,-0.016,0.573,0.543
7,1.286,1.199,0.363,-3.021,-0.016,0.573,0.543
7,1.284,1.101,0.514,-3.021,-0.016,0.573,0.543
7,1.338,1.11,0.558,-3.021,-0.016,0.573,0.543
7,1.338,1.268,0.32,-3.021,-0.016,0.573,0.543
7,1.563,1.053,0.739,-3.021,-0.016,0.573,0.543
8,1.289,1.109,0.51,-2.919,-0.032,0.564,0.573
8,1.318,1.295,0.184,-2.919,-0.032,0.564,0.573
8,1.323,1.184,0.446,-2.919,-0.032,0.564,0.573
8,1.325,1.18,0.455,-2.919,-0.032,0.564,0.573
8,1.329,1.213,0.408,-2.919,-0.032,0.564,0.573
8,1.368,1.184,0.501,-2.919,-0.032,0.564,0.573
8,1.293,1.221,0.33,-2.919,-0.032,0.564,0.573
8,1.355,1.136,0.545,-2.919,-0.032,0.564,0.573
