true_angle,semi_major_axis,semi_minor_axis,convex_hull_area,convex_hull_perimeter,max_distance,aspect_ratio,area_to_perimeter_ratio
0.0,0.871,0.847,2.155,5.315,1.776,0.963,0.405
0.0,0.837,0.788,1.874,5.022,1.638,1.035,0.373
0.0,0.872,0.763,1.755,4.903,1.648,0.948,0.358
0.0,0.879,0.797,1.79,4.992,1.667,1.091,0.359
0.0,0.864,0.825,2.054,5.245,1.769,1.086,0.392
0.0,0.85,0.717,1.686,4.84,1.686,1.181,0.348
0.0,0.847,0.837,2.049,5.197,1.733,0.982,0.394
0.0,0.863,0.854,2.097,5.287,1.739,0.994,0.397
0.0,0.896,0.739,1.801,4.97,1.804,0.971,0.362
0.0,0.859,0.806,1.951,5.107,1.719,0.909,0.382
0.0,0.901,0.736,1.873,5.05,1.763,0.991,0.371
0.0,0.88,0.723,1.815,4.946,1.781,0.861,0.367
0.0,0.87,0.838,2.156,5.317,1.782,0.998,0.405
0.0,0.783,0.647,1.401,4.424,1.554,0.794,0.317
0.0,0.9,0.737,1.809,5.007,1.729,0.965,0.361
0.0,0.902,0.812,2.067,5.268,1.79,1.029,0.392
0.0,0.917,0.764,1.791,4.994,1.683,0.899,0.359
0.0,0.879,0.836,1.972,5.224,1.787,0.906,0.377
0.0,0.819,0.814,1.877,5.036,1.681,1.004,0.373
0.0,0.875,0.842,2.103,5.287,1.737,0.972,0.398
0.0,0.888,0.719,1.756,4.912,1.73,0.973,0.357
0.0,0.907,0.721,1.813,4.976,1.716,0.864,0.364
0.0,0.923,0.712,1.681,4.931,1.787,1.245,0.341
0.0,0.829,0.789,1.831,4.986,1.681,0.947,0.367
0.0,0.874,0.812,2.041,5.215,1.754,1.101,0.391
0.0,0.865,0.721,1.663,4.824,1.636,1.043,0.345
0.0,0.827,0.784,1.873,5.031,1.716,1.049,0.372
0.0,0.872,0.735,1.866,4.972,1.729,1.158,0.375
0.0,0.867,0.846,1.967,5.184,1.722,0.927,0.379
0.0,0.895,0.813,2.051,5.249,1.758,0.913,0.391
0.0,0.855,0.841,1.953,5.147,1.733,1.077,0.379
0.0,0.882,0.853,2.152,5.357,1.814,1.083,0.402
0.0,0.882,0.747,1.686,4.869,1.702,1.204,0.346
0.0,0.909,0.79,1.897,5.124,1.755,0.892,0.37
0.0,0.838,0.777,1.85,5.01,1.712,1.071,0.369
0.0,0.883,0.858,2.051,5.303,1.783,0.945,0.387
0.0,0.836,0.809,1.859,5.038,1.68,1.015,0.369
0.0,0.908,0.733,1.856,5.043,1.756,1.157,0.368
0.0,0.875,0.74,1.889,5.026,1.777,0.844,0.376
0.0,0.884,0.748,1.872,5.068,1.75,1.009,0.369
0.0,0.864,0.82,1.969,5.192,1.767,1.089,0.379
0.0,0.954,0.784,1.828,5.137,1.747,1.045,0.356
0.0,0.878,0.798,1.948,5.123,1.761,1.148,0.38
0.0,0.882,0.838,2.029,5.236,1.756,0.944,0.388
0.0,0.874,0.851,2.061,5.257,1.757,0.99,0.392
0.0,0.886,0.776,1.962,5.14,1.737,1.175,0.382
0.0,0.846,0.798,1.91,5.052,1.694,0.935,0.378
0.0,0.908,0.842,2.176,5.372,1.776,0.931,0.405
0.0,0.902,0.787,1.893,5.11,1.765,1.11,0.37
0.0,0.891,0.818,1.94,5.158,1.738,1.007,0.376
0.0,0.899,0.775,1.895,5.073,1.769,0.983,0.373
0.0,0.87,0.838,2.034,5.214,1.726,1.032,0.39
0.0,0.876,0.793,1.921,5.1,1.778,1.063,0.377
0.0,0.882,0.776,2.01,5.171,1.754,1.039,0.389
0.0,0.91,0.772,1.905,5.114,1.786,1.128,0.372
0.0,0.884,0.849,2.171,5.396,1.785,1.035,0.402
0.0,0.825,0.759,1.778,4.881,1.672,1.05,0.364
0.0,0.882,0.802,1.995,5.168,1.805,0.927,0.386
0.0,0.89,0.82,2.125,5.315,1.791,0.962,0.4
0.0,0.888,0.809,1.99,5.196,1.779,0.893,0.383
0.0,0.842,0.708,1.642,4.76,1.644,1.209,0.345
0.0,0.861,0.839,2.107,5.263,1.773,0.994,0.4
0.0,0.837,0.737,1.764,4.867,1.693,0.966,0.362
0.0,0.871,0.781,1.863,5.014,1.67,1.037,0.372
0.0,0.828,0.801,1.859,5.001,1.663,0.973,0.372
0.0,0.865,0.805,2.02,5.177,1.756,1.045,0.39
0.0,0.893,0.843,2.101,5.306,1.778,0.939,0.396
0.0,0.872,0.84,2.119,5.312,1.782,0.992,0.399
0.0,0.893,0.83,2.11,5.303,1.779,1.031,0.398
0.0,0.91,0.849,2.118,5.358,1.784,1.051,0.395
0.0,0.831,0.788,1.858,5.008,1.697,0.965,0.371
0.0,0.873,0.859,2.102,5.319,1.787,0.968,0.395
0.0,0.913,0.746,1.873,5.092,1.771,1.164,0.368
0.0,0.895,0.814,1.96,5.173,1.751,1.017,0.379
0.0,0.833,0.821,1.984,5.164,1.718,0.959,0.384
0.0,0.899,0.854,2.086,5.323,1.771,1.002,0.392
0.0,0.843,0.751,1.681,4.822,1.702,0.881,0.349
0.0,0.87,0.731,1.798,4.94,1.708,1.194,0.364
0.0,0.893,0.858,2.157,5.373,1.782,1.097,0.401
0.0,0.838,0.789,1.888,5.032,1.734,0.938,0.375
0.0,0.901,0.774,1.959,5.148,1.781,1.055,0.38
0.0,0.906,0.749,1.862,5.084,1.728,0.91,0.366
0.0,0.856,0.776,1.954,5.09,1.729,0.922,0.384
0.0,0.874,0.79,1.97,5.144,1.756,0.913,0.383
0.0,0.861,0.846,2.105,5.283,1.758,0.965,0.398
0.0,0.91,0.79,1.988,5.174,1.758,0.928,0.384
0.0,0.845,0.813,1.967,5.126,1.695,0.992,0.384
0.0,0.897,0.778,1.959,5.155,1.727,1.122,0.38
0.0,0.866,0.786,1.937,5.081,1.711,1.015,0.381
0.0,0.857,0.817,1.989,5.201,1.757,1.017,0.382
0.0,0.828,0.785,1.73,4.978,1.727,1.048,0.348
0.0,0.819,0.762,1.732,4.829,1.622,0.991,0.359
0.0,0.873,0.772,2.012,5.161,1.761,1.022,0.39
