true_angle,semi_major_axis,semi_minor_axis,convex_hull_area,convex_hull_perimeter,max_distance,area_to_perimeter_ratio
0.0,1.575,1.375,6.275,9.154,3.074,0.686
0.0,1.517,1.459,6.521,9.251,3.061,0.705
0.0,1.471,1.435,6.214,9.072,2.997,0.685
0.0,1.536,1.39,6.116,8.993,3.052,0.68
0.0,1.539,1.337,5.834,8.927,2.995,0.653
0.0,1.459,1.409,5.814,8.848,3.029,0.657
0.0,1.505,1.433,6.304,9.087,3.034,0.694
0.0,1.519,1.415,6.319,9.103,3.075,0.694
0.0,1.535,1.383,6.225,9.061,3.052,0.687
0.0,1.61,1.317,5.941,8.916,3.051,0.666
0.0,1.489,1.382,5.459,8.737,3.013,0.625
0.0,1.522,1.37,6.117,8.982,3.036,0.681
0.0,1.532,1.473,6.498,9.243,3.071,0.703
0.0,1.476,1.452,6.255,9.067,3.004,0.69
0.0,1.481,1.462,6.376,9.155,3.027,0.696
0.0,1.512,1.424,6.003,9.038,3.036,0.664
0.0,1.452,1.422,6.066,8.951,2.963,0.678
0.0,1.475,1.389,5.91,8.827,2.989,0.67
0.0,1.533,1.464,6.661,9.327,3.063,0.714
0.0,1.53,1.413,6.228,9.066,3.04,0.687
0.0,1.463,1.431,6.13,8.976,2.952,0.683
0.0,1.501,1.429,6.194,9.068,2.949,0.683
0.0,1.521,1.411,6.335,9.096,3.062,0.696
0.0,1.528,1.43,6.175,9.087,3.0,0.68
0.0,1.529,1.362,6.13,9.005,3.02,0.681
0.0,1.521,1.389,6.075,8.987,3.057,0.676
0.0,1.461,1.423,5.991,8.96,3.039,0.669
0.0,1.507,1.4,6.085,8.997,3.031,0.676
0.0,1.449,1.418,5.785,8.822,2.888,0.656
0.0,1.499,1.453,6.375,9.15,3.053,0.697
0.0,1.488,1.408,5.926,8.902,3.002,0.666
0.0,1.526,1.414,6.227,9.062,3.021,0.687
0.0,1.566,1.411,6.183,9.094,2.994,0.68
0.0,1.571,1.442,6.654,9.318,3.069,0.714
0.0,1.46,1.45,6.1,9.01,3.06,0.677
0.0,1.48,1.392,6.106,8.943,2.948,0.683
0.0,1.488,1.475,6.398,9.182,3.033,0.697
0.0,1.509,1.398,6.137,9.003,3.057,0.682
0.0,1.482,1.404,6.176,9.021,2.993,0.685
0.0,1.511,1.381,5.848,8.859,2.984,0.66
0.0,1.462,1.427,6.138,9.015,2.961,0.681
0.0,1.514,1.447,6.096,9.073,3.011,0.672
0.0,1.51,1.427,6.455,9.148,3.049,0.706
0.0,1.528,1.42,6.348,9.116,3.042,0.696
0.0,1.48,1.315,5.534,8.583,2.928,0.645
0.0,1.428,1.396,5.748,8.726,2.883,0.659
0.0,1.497,1.439,6.387,9.162,3.064,0.697
0.0,1.524,1.461,6.463,9.237,3.04,0.7
0.0,1.506,1.488,6.628,9.309,3.068,0.712
0.0,1.524,1.42,6.216,9.05,2.991,0.687
0.0,1.558,1.331,6.032,8.952,3.049,0.674
0.0,1.486,1.411,6.108,9.014,2.994,0.678
0.0,1.537,1.386,6.042,9.011,3.002,0.67
0.0,1.49,1.4,6.087,8.952,3.03,0.68
0.0,1.512,1.407,6.053,8.954,3.034,0.676
0.0,1.538,1.418,6.297,9.088,3.054,0.693
0.0,1.561,1.352,6.017,9.034,3.066,0.666
0.0,1.523,1.458,6.459,9.204,3.049,0.702
0.0,1.547,1.38,6.064,9.017,3.069,0.672
0.0,1.515,1.449,6.469,9.205,3.032,0.703
0.0,1.49,1.378,5.926,8.868,2.979,0.668
0.0,1.517,1.444,6.376,9.16,3.051,0.696
0.0,1.479,1.326,5.861,8.77,2.984,0.668
0.0,1.537,1.363,6.21,9.009,3.028,0.689
0.0,1.492,1.428,6.09,8.997,3.023,0.677
0.0,1.534,1.485,6.668,9.356,3.089,0.713
0.0,1.566,1.392,6.146,9.035,3.039,0.68
0.0,1.487,1.416,6.157,9.004,2.96,0.684
0.0,1.515,1.382,5.923,8.894,2.95,0.666
0.0,1.465,1.363,5.924,8.821,3.019,0.672
0.0,1.456,1.444,6.195,9.033,2.951,0.686
0.0,1.484,1.405,5.973,8.92,3.008,0.67
0.0,1.561,1.32,6.119,8.993,3.07,0.68
0.0,1.498,1.314,5.605,8.675,2.908,0.646
0.0,1.48,1.359,5.683,8.807,3.079,0.645
0.0,1.5,1.435,6.034,8.982,3.02,0.672
0.0,1.516,1.321,5.722,8.762,2.958,0.653
0.0,1.554,1.371,5.948,8.931,3.006,0.666
0.0,1.507,1.363,6.013,8.899,2.995,0.676
0.0,1.489,1.41,6.098,8.966,2.948,0.68
0.0,1.526,1.379,6.038,8.932,2.969,0.676
0.0,1.536,1.409,6.215,9.081,3.079,0.684
0.0,1.51,1.397,6.056,8.977,3.046,0.675
0.0,1.47,1.425,5.826,8.859,2.889,0.658
0.0,1.524,1.451,6.67,9.28,3.079,0.719
0.0,1.511,1.404,6.349,9.075,3.001,0.7
0.0,1.499,1.466,6.443,9.195,3.02,0.701
0.0,1.527,1.384,6.262,9.051,3.049,0.692
0.0,1.512,1.417,6.252,9.08,3.074,0.689
0.0,1.489,1.371,5.778,8.819,2.966,0.655
0.0,1.466,1.392,6.005,8.919,2.959,0.673
0.0,1.476,1.459,6.281,9.096,3.005,0.691
0.0,1.448,1.41,5.764,8.848,2.961,0.651
0.0,1.479,1.425,6.205,9.029,3.007,0.687
0.0,1.481,1.437,6.338,9.113,2.992,0.695
0.0,1.505,1.435,6.351,9.108,3.034,0.697
0.0,1.526,1.432,6.005,9.026,3.064,0.665
0.0,1.531,1.434,6.484,9.203,3.046,0.705
0.0,1.489,1.417,6.151,8.991,3.047,0.684
0.0,1.529,1.453,6.577,9.279,3.049,0.709
0.1,1.576,1.469,6.671,9.371,3.084,0.712
0.1,1.487,1.442,6.39,9.145,3.019,0.699
0.1,1.532,1.368,5.765,8.855,2.967,0.651
0.1,1.519,1.319,5.648,8.809,3.052,0.641
0.1,1.494,1.465,6.23,9.108,3.025,0.684
0.1,1.539,1.386,6.193,9.077,3.06,0.682
0.1,1.504,1.432,6.439,9.165,3.032,0.703
0.1,1.533,1.422,6.311,9.16,3.04,0.689
0.1,1.458,1.37,5.731,8.764,2.946,0.654
0.1,1.5,1.493,6.623,9.284,3.036,0.713
0.1,1.506,1.383,6.017,8.917,3.044,0.675
0.1,1.532,1.386,6.286,9.1,3.079,0.691
0.1,1.472,1.389,6.007,8.92,3.005,0.673
0.1,1.475,1.405,5.98,8.912,2.926,0.671
0.1,1.461,1.383,5.825,8.793,2.995,0.662
0.1,1.523,1.406,6.28,9.125,3.084,0.688
0.1,1.523,1.495,5.98,9.064,3.02,0.66
0.1,1.473,1.349,5.968,8.831,2.987,0.676
0.1,1.505,1.469,6.269,9.162,3.052,0.684
0.1,1.549,1.46,6.578,9.287,3.1,0.708
0.1,1.508,1.428,6.356,9.138,3.036,0.696
0.1,1.537,1.433,6.375,9.193,3.085,0.694
0.1,1.499,1.458,6.321,9.132,3.04,0.692
0.1,1.544,1.402,6.237,9.123,3.084,0.684
0.1,1.556,1.369,6.24,9.074,3.066,0.688
0.1,1.502,1.445,6.379,9.171,3.013,0.696
0.1,1.498,1.409,6.159,9.023,2.977,0.683
0.1,1.499,1.39,5.833,8.87,3.038,0.658
0.1,1.477,1.432,6.183,9.027,3.0,0.685
0.1,1.523,1.394,5.968,8.96,3.005,0.666
0.1,1.506,1.353,5.856,8.857,3.003,0.661
0.1,1.524,1.472,6.42,9.23,3.071,0.696
0.1,1.545,1.398,6.355,9.151,3.073,0.695
0.1,1.518,1.38,6.187,9.034,3.065,0.685
0.1,1.415,1.395,5.693,8.653,2.854,0.658
0.1,1.485,1.339,5.696,8.727,3.009,0.653
0.1,1.474,1.337,5.941,8.797,2.918,0.675
0.1,1.516,1.447,6.349,9.174,3.082,0.692
0.1,1.511,1.449,6.31,9.134,2.988,0.691
0.1,1.446,1.323,5.574,8.616,3.007,0.647
0.1,1.531,1.398,6.011,8.974,2.995,0.67
0.1,1.495,1.486,6.252,9.137,3.086,0.684
0.1,1.485,1.475,6.257,9.103,3.022,0.687
0.1,1.522,1.416,6.355,9.096,2.997,0.699
0.1,1.572,1.406,6.183,9.084,3.031,0.681
0.1,1.462,1.391,5.854,8.825,2.936,0.663
0.1,1.467,1.398,5.926,8.866,2.941,0.668
0.1,1.474,1.427,6.021,8.954,3.024,0.672
0.1,1.513,1.462,6.347,9.185,3.037,0.691
0.1,1.526,1.392,6.105,9.003,3.053,0.678
0.1,1.558,1.441,6.223,9.157,3.078,0.68
0.1,1.58,1.368,6.085,9.025,3.056,0.674
0.1,1.47,1.45,6.439,9.15,3.04,0.704
0.1,1.491,1.466,6.471,9.195,3.044,0.704
0.1,1.491,1.413,5.935,8.954,3.052,0.663
0.1,1.501,1.405,6.231,9.047,3.009,0.689
0.1,1.511,1.468,6.256,9.152,3.027,0.684
0.1,1.499,1.347,6.048,8.908,3.041,0.679
0.1,1.519,1.435,6.394,9.184,3.062,0.696
0.1,1.458,1.442,6.021,8.955,2.953,0.672
0.1,1.502,1.316,5.427,8.593,3.008,0.632
0.1,1.501,1.388,6.221,9.02,3.026,0.69
0.1,1.529,1.389,6.316,9.066,3.041,0.697
0.1,1.538,1.429,6.326,9.141,3.052,0.692
0.1,1.517,1.385,6.104,9.013,3.081,0.677
0.1,1.533,1.469,6.425,9.215,3.058,0.697
0.1,1.507,1.455,6.412,9.167,3.064,0.699
0.1,1.473,1.404,6.265,9.025,3.006,0.694
0.1,1.49,1.429,6.285,9.076,2.98,0.692
0.1,1.503,1.468,6.399,9.188,3.03,0.697
0.1,1.458,1.399,5.865,8.931,3.074,0.657
0.1,1.478,1.404,6.238,9.029,3.037,0.691
0.1,1.524,1.379,6.083,8.998,3.069,0.676
0.1,1.537,1.424,6.345,9.165,3.077,0.692
0.1,1.513,1.466,6.36,9.155,3.032,0.695
0.1,1.516,1.376,6.072,8.928,3.053,0.68
0.1,1.503,1.445,6.208,9.099,3.02,0.682
0.1,1.478,1.442,6.222,9.107,3.024,0.683
0.1,1.473,1.463,6.241,9.075,2.967,0.688
0.1,1.504,1.482,6.616,9.283,3.04,0.713
0.1,1.521,1.399,6.234,9.046,3.017,0.689
0.1,1.521,1.482,6.649,9.312,3.057,0.714
0.1,1.497,1.367,5.9,8.858,3.04,0.666
0.1,1.505,1.308,5.905,8.784,3.04,0.672
0.1,1.47,1.394,6.005,8.907,2.973,0.674
0.1,1.558,1.377,6.22,9.063,3.002,0.686
0.1,1.522,1.423,6.482,9.206,3.031,0.704
0.1,1.495,1.466,6.489,9.206,3.002,0.705
0.1,1.48,1.392,6.107,8.931,2.964,0.684
0.1,1.544,1.373,5.738,8.851,2.929,0.648
0.1,1.487,1.372,6.112,8.927,2.949,0.685
0.1,1.476,1.404,5.792,8.792,2.939,0.659
0.1,1.504,1.424,6.27,9.05,2.989,0.693
0.1,1.465,1.365,5.775,8.751,2.966,0.66
0.1,1.501,1.457,6.314,9.146,3.021,0.69
0.1,1.513,1.441,6.412,9.183,3.011,0.698
0.1,1.51,1.449,6.367,9.164,3.026,0.695
0.1,1.478,1.426,6.02,8.961,3.003,0.672
0.1,1.566,1.406,6.413,9.188,3.037,0.698
0.1,1.509,1.411,6.167,9.072,3.056,0.68
0.2,1.555,1.313,5.648,8.767,3.075,0.644
0.2,1.475,1.41,6.158,8.977,2.934,0.686
0.2,1.449,1.407,5.962,8.879,2.95,0.672
0.2,1.511,1.457,6.251,9.106,3.014,0.687
0.2,1.492,1.432,6.341,9.106,2.989,0.696
0.2,1.498,1.402,5.933,8.915,3.036,0.665
0.2,1.539,1.4,6.021,9.026,2.988,0.667
0.2,1.572,1.443,6.391,9.232,3.056,0.692
0.2,1.513,1.469,6.503,9.246,3.086,0.703
0.2,1.506,1.363,6.067,8.964,3.017,0.677
0.2,1.483,1.419,6.282,9.054,3.0,0.694
0.2,1.566,1.387,6.286,9.125,3.044,0.689
0.2,1.544,1.389,6.246,9.101,3.063,0.686
0.2,1.513,1.443,6.348,9.13,3.029,0.695
0.2,1.491,1.382,6.2,9.005,3.021,0.689
0.2,1.487,1.403,6.092,8.991,3.083,0.678
0.2,1.488,1.455,6.302,9.091,2.99,0.693
0.2,1.52,1.426,6.189,9.091,3.045,0.681
0.2,1.493,1.451,6.331,9.12,3.039,0.694
0.2,1.504,1.428,6.179,9.049,3.007,0.683
0.2,1.481,1.384,6.075,8.948,2.974,0.679
0.2,1.49,1.461,6.329,9.143,3.056,0.692
0.2,1.495,1.412,6.066,8.957,2.991,0.677
0.2,1.522,1.441,6.038,9.072,3.004,0.666
0.2,1.545,1.412,6.215,9.117,3.064,0.682
0.2,1.535,1.327,6.005,8.929,3.021,0.673
0.2,1.491,1.35,5.841,8.841,3.001,0.661
0.2,1.448,1.377,5.699,8.757,2.997,0.651
0.2,1.506,1.462,6.47,9.189,3.042,0.704
0.2,1.515,1.445,6.448,9.197,3.033,0.701
0.2,1.501,1.415,6.208,9.048,3.064,0.686
0.2,1.42,1.366,5.693,8.65,2.87,0.658
0.2,1.517,1.464,6.429,9.199,3.035,0.699
0.2,1.508,1.401,6.218,9.021,2.996,0.689
0.2,1.467,1.358,5.76,8.78,2.909,0.656
0.2,1.455,1.419,6.104,8.946,2.915,0.682
0.2,1.515,1.39,6.223,9.018,3.04,0.69
0.2,1.45,1.43,6.107,8.995,2.985,0.679
0.2,1.526,1.461,6.479,9.257,3.088,0.7
0.2,1.507,1.455,6.576,9.237,3.024,0.712
0.2,1.541,1.381,6.387,9.121,3.043,0.7
0.2,1.553,1.399,6.158,9.125,3.086,0.675
0.2,1.522,1.457,6.257,9.183,3.071,0.681
0.2,1.519,1.435,6.592,9.245,3.069,0.713
0.2,1.533,1.459,6.489,9.23,3.063,0.703
0.2,1.514,1.482,6.604,9.287,3.068,0.711
0.2,1.482,1.359,5.648,8.797,3.033,0.642
0.2,1.556,1.301,5.978,8.947,3.082,0.668
0.2,1.5,1.437,6.445,9.151,3.017,0.704
0.2,1.509,1.46,6.153,9.078,3.036,0.678
0.2,1.532,1.397,6.227,9.081,3.0,0.686
0.2,1.483,1.472,6.361,9.13,2.994,0.697
0.2,1.516,1.444,6.375,9.151,3.055,0.697
0.2,1.48,1.435,6.297,9.059,3.018,0.695
0.2,1.483,1.361,5.929,8.836,2.938,0.671
0.2,1.524,1.375,6.139,9.003,3.071,0.682
0.2,1.445,1.403,5.84,8.803,2.936,0.663
0.2,1.449,1.365,5.819,8.735,2.984,0.666
0.2,1.567,1.408,6.194,9.088,3.054,0.682
0.2,1.5,1.464,6.418,9.17,3.012,0.7
0.2,1.519,1.332,5.893,8.859,2.991,0.665
0.2,1.466,1.392,6.028,8.941,2.954,0.674
0.2,1.485,1.463,6.328,9.123,3.011,0.694
0.2,1.576,1.375,5.924,8.997,3.071,0.658
0.2,1.533,1.472,6.607,9.33,3.08,0.708
0.2,1.553,1.363,5.855,8.879,3.021,0.659
0.2,1.48,1.447,6.252,9.088,3.043,0.688
0.2,1.492,1.482,6.499,9.215,2.997,0.705
0.2,1.504,1.475,6.23,9.138,3.023,0.682
0.2,1.472,1.416,6.034,8.935,3.011,0.675
0.2,1.441,1.42,6.037,8.916,2.935,0.677
