true_angle,semi_major_axis,semi_minor_axis,convex_hull_area,convex_hull_perimeter,max_distance,aspect_ratio,area_to_perimeter_ratio
0.0,0.971,0.845,2.212,5.568,1.919,0.917,0.397
0.0,0.972,0.915,2.406,5.737,1.908,1.052,0.419
0.0,0.942,0.841,2.15,5.42,1.918,1.133,0.397
0.0,0.956,0.874,2.285,5.599,1.894,0.939,0.408
0.0,0.939,0.884,2.293,5.572,1.885,0.941,0.412
0.0,0.965,0.888,2.453,5.692,1.908,0.996,0.431
0.0,0.977,0.936,2.615,5.89,1.981,1.036,0.444
0.0,0.931,0.93,2.449,5.713,1.869,0.966,0.429
0.0,1.0,0.845,2.342,5.669,1.9,1.104,0.413
0.0,0.979,0.838,2.183,5.507,1.943,0.954,0.396
0.0,0.917,0.832,1.982,5.276,1.798,1.057,0.376
0.0,0.917,0.89,2.245,5.537,1.882,1.003,0.405
0.0,0.978,0.924,2.58,5.862,1.969,1.02,0.44
0.0,0.942,0.888,2.353,5.698,1.925,0.972,0.413
0.0,0.981,0.855,2.381,5.705,1.936,1.076,0.417
0.0,0.934,0.893,2.426,5.722,1.937,0.969,0.424
0.0,0.95,0.816,2.086,5.389,1.851,0.864,0.387
0.0,0.955,0.877,2.356,5.658,1.965,0.934,0.416
0.0,0.981,0.907,2.534,5.844,1.975,1.023,0.434
0.0,0.943,0.836,2.308,5.533,1.877,0.957,0.417
0.0,0.948,0.889,2.403,5.643,1.896,0.939,0.426
0.0,0.949,0.89,2.436,5.7,1.91,1.042,0.427
0.0,0.982,0.944,2.648,5.913,1.967,0.998,0.448
0.0,0.965,0.901,2.522,5.758,1.956,1.045,0.438
0.0,0.995,0.932,2.625,5.931,1.97,1.015,0.443
0.0,0.996,0.872,2.265,5.612,1.961,1.092,0.404
0.0,0.952,0.861,2.377,5.639,1.919,0.906,0.422
0.0,1.018,0.855,2.324,5.65,1.904,0.994,0.411
0.0,0.946,0.909,2.481,5.741,1.905,1.031,0.432
0.0,0.958,0.891,2.352,5.649,1.948,1.075,0.416
0.0,1.022,0.943,2.357,5.762,1.949,1.014,0.409
0.0,0.892,0.787,1.952,5.208,1.786,1.05,0.375
0.0,1.001,0.744,2.127,5.447,1.912,1.019,0.391
0.0,0.935,0.907,2.365,5.661,1.882,0.95,0.418
0.0,0.973,0.935,2.629,5.882,1.975,0.952,0.447
0.0,0.931,0.92,2.461,5.751,1.947,1.017,0.428
0.0,0.981,0.892,2.563,5.806,1.94,1.028,0.441
0.0,0.945,0.876,2.232,5.57,1.954,0.917,0.401
0.0,0.973,0.823,2.292,5.562,1.935,1.0,0.412
0.0,0.963,0.898,2.454,5.714,1.872,1.039,0.43
0.0,0.975,0.918,2.489,5.791,1.952,1.02,0.43
0.0,0.956,0.942,2.527,5.81,1.942,1.03,0.435
0.0,1.075,0.848,2.178,5.6,2.01,0.927,0.389
0.0,0.941,0.922,2.355,5.658,1.895,0.972,0.416
0.0,0.99,0.86,2.462,5.707,1.945,0.905,0.431
0.0,1.041,0.874,2.419,5.767,1.961,0.936,0.419
0.0,0.926,0.898,2.246,5.585,1.88,0.972,0.402
0.0,0.964,0.899,2.489,5.762,1.933,0.919,0.432
0.0,0.926,0.903,2.403,5.65,1.857,1.002,0.425
0.0,1.004,0.929,2.554,5.861,1.94,0.965,0.436
0.0,0.954,0.924,2.554,5.811,1.92,1.036,0.44
0.0,0.991,0.847,2.432,5.7,1.934,1.077,0.427
0.0,0.962,0.914,2.287,5.636,1.916,0.948,0.406
0.0,0.981,0.851,2.363,5.642,1.971,0.823,0.419
0.0,0.966,0.913,2.451,5.73,1.907,1.078,0.428
0.0,0.945,0.9,2.401,5.674,1.881,0.972,0.423
0.0,1.07,0.756,2.015,5.435,1.962,1.251,0.371
0.0,0.936,0.82,2.089,5.4,1.97,0.885,0.387
0.0,0.943,0.865,2.251,5.55,1.872,1.11,0.406
0.0,1.001,0.922,2.496,5.853,1.963,0.968,0.426
0.0,0.988,0.941,2.497,5.832,1.955,0.946,0.428
0.0,0.921,0.901,2.414,5.694,1.854,1.012,0.424
0.0,0.926,0.864,2.221,5.497,1.853,1.026,0.404
0.0,0.978,0.936,2.614,5.9,1.971,1.101,0.443
0.0,0.942,0.873,2.305,5.592,1.927,0.996,0.412
0.0,0.94,0.894,2.374,5.675,1.914,1.099,0.418
0.0,0.974,0.897,2.325,5.683,1.951,0.973,0.409
0.0,0.988,0.918,2.651,5.906,1.973,0.902,0.449
0.0,0.97,0.926,2.652,5.911,1.94,0.961,0.449
0.0,0.924,0.904,2.384,5.67,1.887,1.017,0.42
0.0,0.985,0.923,2.587,5.9,1.969,0.941,0.438
0.0,1.034,0.836,2.272,5.599,1.933,0.91,0.406
0.0,0.957,0.889,2.404,5.66,1.882,0.941,0.425
0.0,0.895,0.795,2.072,5.282,1.869,1.145,0.392
0.0,0.952,0.888,2.314,5.602,1.925,1.028,0.413
0.0,0.949,0.856,2.383,5.595,1.864,1.057,0.426
0.0,0.936,0.898,2.489,5.707,1.916,1.037,0.436
0.0,0.93,0.882,2.14,5.47,1.884,1.023,0.391
0.0,0.952,0.855,2.335,5.598,1.886,1.1,0.417
0.0,0.957,0.88,2.336,5.707,1.972,0.919,0.409
0.0,0.864,0.849,2.152,5.363,1.8,0.997,0.401
0.0,0.933,0.882,2.273,5.613,1.902,1.043,0.405
0.0,0.937,0.878,2.373,5.591,1.863,1.076,0.424
0.0,0.954,0.836,2.168,5.485,1.894,0.893,0.395
0.0,0.931,0.879,2.319,5.577,1.925,0.983,0.416
0.0,0.923,0.841,2.109,5.376,1.86,0.973,0.392
0.0,0.906,0.822,2.13,5.314,1.791,1.155,0.401
0.0,0.969,0.898,2.295,5.633,1.893,1.044,0.407
0.0,0.975,0.915,2.338,5.681,1.938,0.869,0.412
0.0,0.953,0.921,2.4,5.726,1.919,0.948,0.419
0.0,0.955,0.883,2.459,5.706,1.901,1.1,0.431
0.0,0.977,0.902,2.526,5.796,1.938,1.102,0.436
0.0,0.951,0.922,2.451,5.724,1.917,1.003,0.428
0.0,0.982,0.848,2.312,5.599,1.957,0.879,0.413
0.0,0.962,0.932,2.603,5.865,1.928,0.988,0.444
0.0,0.932,0.874,2.293,5.572,1.957,0.903,0.411
0.0,0.958,0.944,2.669,5.918,1.968,1.004,0.451
0.0,0.964,0.846,2.296,5.607,1.967,1.072,0.409
0.0,0.949,0.935,2.473,5.76,1.935,0.98,0.429
0.0,0.953,0.859,2.327,5.573,1.873,1.028,0.417
0.5,0.933,0.909,2.345,5.677,1.94,0.965,0.413
0.5,0.943,0.796,2.134,5.39,1.894,0.889,0.396
0.5,0.957,0.906,2.344,5.666,1.922,1.06,0.414
0.5,0.958,0.861,2.33,5.587,1.865,1.042,0.417
0.5,0.964,0.844,2.387,5.615,1.907,1.139,0.425
0.5,1.007,0.862,2.269,5.602,1.941,0.934,0.405
0.5,0.947,0.889,2.372,5.63,1.907,1.104,0.421
0.5,0.927,0.891,2.364,5.633,1.876,1.012,0.42
0.5,0.969,0.896,2.496,5.751,1.915,1.037,0.434
0.5,0.987,0.88,2.556,5.814,1.954,1.116,0.44
0.5,0.913,0.822,2.204,5.404,1.851,0.977,0.408
0.5,0.955,0.942,2.673,5.907,1.934,1.006,0.453
0.5,0.958,0.895,2.546,5.752,1.912,0.997,0.443
0.5,0.981,0.871,2.495,5.752,1.957,0.893,0.434
0.5,0.982,0.811,2.227,5.528,1.928,1.216,0.403
0.5,1.043,0.866,2.373,5.735,1.929,0.975,0.414
0.5,0.981,0.945,2.656,5.927,2.001,0.933,0.448
0.5,0.954,0.871,2.364,5.641,1.906,0.969,0.419
0.5,0.988,0.852,2.446,5.722,1.963,0.877,0.427
0.5,0.943,0.933,2.482,5.798,1.896,0.985,0.428
0.5,1.035,0.873,2.416,5.764,1.97,0.887,0.419
0.5,0.943,0.867,2.273,5.571,1.888,1.11,0.408
0.5,0.925,0.832,2.289,5.484,1.847,1.077,0.417
0.5,0.954,0.916,2.446,5.718,1.891,0.969,0.428
0.5,0.971,0.844,2.262,5.558,1.924,0.897,0.407
0.5,0.93,0.861,2.342,5.572,1.889,0.94,0.42
0.5,0.98,0.833,2.283,5.57,1.912,1.189,0.41
0.5,0.936,0.913,2.448,5.721,1.898,1.016,0.428
0.5,0.957,0.937,2.575,5.847,1.93,1.019,0.44
0.5,0.96,0.898,2.465,5.75,1.929,1.074,0.429
0.5,0.989,0.87,2.457,5.726,1.966,0.871,0.429
0.5,0.945,0.864,2.36,5.595,1.891,0.94,0.422
0.5,0.983,0.824,2.192,5.601,1.946,0.825,0.391
0.5,0.953,0.831,2.086,5.379,1.902,1.003,0.388
0.5,0.973,0.915,2.596,5.845,1.955,1.138,0.444
0.5,0.916,0.848,2.241,5.464,1.887,1.02,0.41
0.5,0.997,0.908,2.272,5.657,1.982,0.965,0.402
0.5,0.965,0.922,2.558,5.833,1.931,0.936,0.439
0.5,0.98,0.906,2.529,5.79,1.915,0.935,0.437
0.5,0.956,0.909,2.508,5.744,1.905,0.977,0.437
0.5,0.952,0.894,2.412,5.663,1.9,0.913,0.426
0.5,1.005,0.949,2.542,5.918,1.979,0.975,0.43
0.5,0.963,0.943,2.495,5.823,1.955,1.054,0.428
0.5,0.947,0.848,2.337,5.561,1.94,0.887,0.42
0.5,0.922,0.845,2.227,5.484,1.851,0.873,0.406
0.5,0.937,0.891,2.363,5.659,1.941,0.94,0.418
0.5,0.978,0.916,2.554,5.83,1.944,0.988,0.438
0.5,0.955,0.913,2.484,5.748,1.938,0.917,0.432
0.5,0.986,0.866,2.398,5.693,1.966,1.081,0.421
0.5,0.935,0.876,2.288,5.557,1.888,1.064,0.412
0.5,0.896,0.783,1.986,5.222,1.792,0.852,0.38
0.5,0.917,0.885,2.312,5.565,1.883,1.015,0.415
0.5,0.991,0.908,2.59,5.849,1.986,1.043,0.443
