true_angle,semi_major_axis,semi_minor_axis,eccentricity,std_x,std_y
0.0,1.241,1.18,0.31,0.558,0.605
0.0,1.285,1.233,0.282,0.558,0.605
0.0,1.282,1.202,0.346,0.558,0.605
0.0,1.292,1.167,0.428,0.558,0.605
0.0,1.352,1.205,0.455,0.558,0.605
0.0,1.283,1.226,0.295,0.558,0.605
0.0,1.324,1.191,0.437,0.558,0.605
0.0,1.321,1.257,0.308,0.558,0.605
0.0,1.342,1.26,0.344,0.558,0.605
0.0,1.279,1.213,0.319,0.558,0.605
0.0,1.307,1.228,0.341,0.558,0.605
0.0,1.303,1.261,0.251,0.558,0.605
0.0,1.286,1.23,0.293,0.558,0.605
0.0,1.292,1.181,0.406,0.558,0.605
0.0,1.323,1.151,0.493,0.558,0.605
0.0,1.316,1.193,0.423,0.558,0.605
0.0,1.297,1.246,0.276,0.558,0.605
0.0,1.295,1.25,0.262,0.558,0.605
0.0,1.324,1.193,0.434,0.558,0.605
0.0,1.333,1.183,0.461,0.558,0.605
0.0,1.31,1.218,0.369,0.558,0.605
0.0,1.306,1.223,0.351,0.558,0.605
0.0,1.148,1.087,0.321,0.558,0.605
0.0,1.322,1.223,0.378,0.558,0.605
0.0,1.254,1.146,0.407,0.558,0.605
0.0,1.353,1.217,0.438,0.558,0.605
0.0,1.236,1.188,0.275,0.558,0.605
0.0,1.313,1.096,0.55,0.558,0.605
0.0,1.312,1.263,0.273,0.558,0.605
0.0,1.332,1.111,0.552,0.558,0.605
0.0,1.265,1.162,0.395,0.558,0.605
0.0,1.286,1.115,0.498,0.558,0.605
0.0,1.362,1.195,0.48,0.558,0.605
0.0,1.348,1.247,0.38,0.558,0.605
0.0,1.268,1.128,0.457,0.558,0.605
0.0,1.357,1.237,0.412,0.558,0.605
0.0,1.313,1.23,0.351,0.558,0.605
0.0,1.281,1.191,0.369,0.558,0.605
0.0,1.415,1.035,0.682,0.558,0.605
0.0,1.354,0.959,0.706,0.558,0.605
0.0,1.308,1.154,0.471,0.558,0.605
0.0,1.234,1.167,0.325,0.558,0.605
0.0,1.301,1.162,0.45,0.558,0.605
0.0,1.263,1.219,0.261,0.558,0.605
0.0,1.301,1.181,0.419,0.558,0.605
0.0,1.34,1.229,0.399,0.558,0.605
0.0,1.257,1.204,0.289,0.558,0.605
0.0,1.326,1.014,0.644,0.558,0.605
0.0,1.334,1.153,0.504,0.558,0.605
0.0,1.347,1.24,0.39,0.558,0.605
0.1,1.296,1.184,0.407,0.555,0.609
0.1,1.287,1.213,0.333,0.555,0.609
0.1,1.29,1.178,0.409,0.555,0.609
0.1,1.295,1.271,0.195,0.555,0.609
0.1,1.291,1.194,0.381,0.555,0.609
0.1,1.301,1.235,0.316,0.555,0.609
0.1,1.319,1.179,0.449,0.555,0.609
0.1,1.274,1.161,0.412,0.555,0.609
0.1,1.31,1.243,0.317,0.555,0.609
0.1,1.374,1.122,0.577,0.555,0.609
0.1,1.284,1.257,0.204,0.555,0.609
0.1,1.32,1.229,0.366,0.555,0.609
0.1,1.207,1.109,0.396,0.555,0.609
0.1,1.267,1.124,0.461,0.555,0.609
0.1,1.323,1.313,0.121,0.555,0.609
0.1,1.319,1.258,0.302,0.555,0.609
0.1,1.263,1.233,0.218,0.555,0.609
0.1,1.337,1.238,0.379,0.555,0.609
0.1,1.298,1.269,0.211,0.555,0.609
0.1,1.379,1.082,0.62,0.555,0.609
0.1,1.308,1.251,0.292,0.555,0.609
0.1,1.261,1.228,0.227,0.555,0.609
0.1,1.279,1.24,0.245,0.555,0.609
0.1,1.314,1.229,0.354,0.555,0.609
0.1,1.309,1.13,0.506,0.555,0.609
0.1,1.45,1.055,0.686,0.555,0.609
0.1,1.257,1.25,0.1,0.555,0.609
0.1,1.354,1.238,0.405,0.555,0.609
0.1,1.287,1.223,0.312,0.555,0.609
0.1,1.276,1.186,0.369,0.555,0.609
0.1,1.295,1.24,0.288,0.555,0.609
0.1,1.305,1.251,0.285,0.555,0.609
0.1,1.37,1.114,0.582,0.555,0.609
0.1,1.324,1.087,0.571,0.555,0.609
0.1,1.346,1.224,0.415,0.555,0.609
0.1,1.311,1.241,0.322,0.555,0.609
0.1,1.304,1.193,0.404,0.555,0.609
0.1,1.329,1.161,0.486,0.555,0.609
0.1,1.31,1.235,0.335,0.555,0.609
0.1,1.333,1.27,0.304,0.555,0.609
0.1,1.294,1.177,0.415,0.555,0.609
0.1,1.278,1.238,0.248,0.555,0.609
0.1,1.248,1.094,0.481,0.555,0.609
0.1,1.298,1.2,0.381,0.555,0.609
0.1,1.275,1.21,0.315,0.555,0.609
0.1,1.333,1.088,0.578,0.555,0.609
0.1,1.334,1.213,0.416,0.555,0.609
0.1,1.317,1.099,0.551,0.555,0.609
0.1,1.203,1.011,0.542,0.555,0.609
0.1,1.237,1.214,0.192,0.555,0.609
0.2,1.412,1.106,0.621,0.556,0.605
0.2,1.203,1.055,0.481,0.556,0.605
0.2,1.254,1.224,0.217,0.556,0.605
0.2,1.288,1.21,0.342,0.556,0.605
0.2,1.348,1.083,0.595,0.556,0.605
0.2,1.294,1.176,0.417,0.556,0.605
0.2,1.357,1.17,0.507,0.556,0.605
0.2,1.241,1.167,0.34,0.556,0.605
0.2,1.258,1.235,0.191,0.556,0.605
0.2,1.294,1.242,0.278,0.556,0.605
0.2,1.243,1.126,0.423,0.556,0.605
0.2,1.287,1.194,0.373,0.556,0.605
0.2,1.294,1.183,0.405,0.556,0.605
0.2,1.369,1.178,0.509,0.556,0.605
0.2,1.331,1.191,0.446,0.556,0.605
0.2,1.317,1.13,0.514,0.556,0.605
0.2,1.284,1.257,0.203,0.556,0.605
0.2,1.346,1.265,0.341,0.556,0.605
0.2,1.298,1.164,0.443,0.556,0.605
0.2,1.323,1.152,0.492,0.556,0.605
0.2,1.289,1.189,0.387,0.556,0.605
0.2,1.361,1.222,0.44,0.556,0.605
0.2,1.378,1.144,0.558,0.556,0.605
0.2,1.344,1.216,0.425,0.556,0.605
0.2,1.257,1.114,0.463,0.556,0.605
0.2,1.285,1.22,0.313,0.556,0.605
0.2,1.394,1.171,0.543,0.556,0.605
0.2,1.302,1.272,0.215,0.556,0.605
0.2,1.267,1.186,0.352,0.556,0.605
0.2,1.273,1.163,0.407,0.556,0.605
0.2,1.277,1.191,0.359,0.556,0.605
0.2,1.341,1.115,0.555,0.556,0.605
0.2,1.319,1.105,0.545,0.556,0.605
0.2,1.29,1.215,0.336,0.556,0.605
0.2,1.334,1.055,0.611,0.556,0.605
0.2,1.332,1.15,0.504,0.556,0.605
0.2,1.286,1.216,0.325,0.556,0.605
0.2,1.31,1.174,0.445,0.556,0.605
0.2,1.252,1.152,0.392,0.556,0.605
0.2,1.309,1.127,0.508,0.556,0.605
0.2,1.33,1.165,0.484,0.556,0.605
0.2,1.302,1.164,0.449,0.556,0.605
0.2,1.317,1.216,0.383,0.556,0.605
0.2,1.302,1.176,0.429,0.556,0.605
0.2,1.32,1.241,0.34,0.556,0.605
0.2,1.283,1.194,0.367,0.556,0.605
0.2,1.261,1.172,0.369,0.556,0.605
0.2,1.29,1.201,0.366,0.556,0.605
0.2,1.332,1.139,0.518,0.556,0.605
0.2,1.356,1.172,0.502,0.556,0.605
0.3,1.262,1.187,0.338,0.55,0.592
0.3,1.408,1.163,0.563,0.55,0.592
0.3,1.252,1.157,0.382,0.55,0.592
0.3,1.311,1.127,0.51,0.55,0.592
0.3,1.316,1.244,0.325,0.55,0.592
0.3,1.354,1.11,0.572,0.55,0.592
0.3,1.285,1.195,0.366,0.55,0.592
0.3,1.29,1.114,0.503,0.55,0.592
0.3,1.42,1.178,0.558,0.55,0.592
0.3,1.381,1.187,0.511,0.55,0.592
0.3,1.356,1.057,0.627,0.55,0.592
0.3,1.367,1.1,0.594,0.55,0.592
0.3,1.337,1.206,0.432,0.55,0.592
0.3,1.287,1.165,0.425,0.55,0.592
0.3,1.259,1.171,0.366,0.55,0.592
0.3,1.301,1.163,0.448,0.55,0.592
0.3,1.272,1.243,0.212,0.55,0.592
0.3,1.348,1.205,0.448,0.55,0.592
0.3,1.308,1.146,0.482,0.55,0.592
0.3,1.249,1.193,0.295,0.55,0.592
0.3,1.282,1.165,0.417,0.55,0.592
0.3,1.294,1.253,0.252,0.55,0.592
0.3,1.432,1.037,0.69,0.55,0.592
0.3,1.341,1.107,0.565,0.55,0.592
0.3,1.281,1.063,0.558,0.55,0.592
0.3,1.379,1.117,0.586,0.55,0.592
0.3,1.245,1.081,0.496,0.55,0.592
0.3,1.261,1.158,0.396,0.55,0.592
0.3,1.313,1.167,0.459,0.55,0.592
0.3,1.323,1.165,0.474,0.55,0.592
0.3,1.29,1.283,0.102,0.55,0.592
0.3,1.348,1.124,0.552,0.55,0.592
0.3,1.259,1.102,0.483,0.55,0.592
0.3,1.292,1.204,0.362,0.55,0.592
0.3,1.312,1.243,0.321,0.55,0.592
0.3,1.296,1.27,0.198,0.55,0.592
0.3,1.337,1.285,0.275,0.55,0.592
0.3,1.292,1.23,0.305,0.55,0.592
0.3,1.284,1.159,0.43,0.55,0.592
0.3,1.278,1.183,0.379,0.55,0.592
0.3,1.325,1.277,0.268,0.55,0.592
0.3,1.339,1.185,0.466,0.55,0.592
0.3,1.347,1.252,0.368,0.55,0.592
0.3,1.333,1.286,0.261,0.55,0.592
0.3,1.299,1.133,0.49,0.55,0.592
0.3,1.239,1.194,0.268,0.55,0.592
0.3,1.29,1.245,0.26,0.55,0.592
0.3,1.289,1.198,0.369,0.55,0.592
0.3,1.401,1.1,0.619,0.55,0.592
0.3,1.267,1.226,0.253,0.55,0.592
0.4,1.328,1.256,0.325,0.565,0.596
0.4,1.297,1.222,0.334,0.565,0.596
0.4,1.309,1.205,0.392,0.565,0.596
0.4,1.242,1.143,0.391,0.565,0.596
0.4,1.337,1.246,0.363,0.565,0.596
0.4,1.3,1.235,0.312,0.565,0.596
0.4,1.287,1.245,0.254,0.565,0.596
0.4,1.319,1.282,0.237,0.565,0.596
0.4,1.318,1.156,0.48,0.565,0.596
0.4,1.316,1.145,0.494,0.565,0.596
0.4,1.289,1.168,0.423,0.565,0.596
0.4,1.309,1.135,0.498,0.565,0.596
0.4,1.35,1.296,0.279,0.565,0.596
0.4,1.328,1.212,0.409,0.565,0.596
0.4,1.247,1.187,0.305,0.565,0.596
0.4,1.261,1.17,0.373,0.565,0.596
0.4,1.332,1.141,0.516,0.565,0.596
0.4,1.343,1.244,0.376,0.565,0.596
0.4,1.376,1.196,0.493,0.565,0.596
0.4,1.454,1.139,0.622,0.565,0.596
0.4,1.371,1.229,0.443,0.565,0.596
0.4,1.272,1.152,0.424,0.565,0.596
0.4,1.326,1.129,0.525,0.565,0.596
0.4,1.412,1.122,0.607,0.565,0.596
0.4,1.344,1.185,0.472,0.565,0.596
0.4,1.285,1.157,0.436,0.565,0.596
0.4,1.297,1.176,0.421,0.565,0.596
0.4,1.294,1.241,0.283,0.565,0.596
0.4,1.302,1.165,0.447,0.565,0.596
0.4,1.311,1.27,0.247,0.565,0.596
0.4,1.37,1.236,0.432,0.565,0.596
