true_angle,semi_major_axis,semi_minor_axis,eccentricity,std_x,std_y
0.0,1.29,1.216,0.334,0.551,0.55
0.0,1.239,1.158,0.357,0.551,0.55
0.0,1.254,1.181,0.336,0.551,0.55
0.0,1.331,1.126,0.534,0.551,0.55
0.0,1.329,1.157,0.493,0.551,0.55
0.0,1.289,1.201,0.363,0.551,0.55
0.0,1.305,1.114,0.521,0.551,0.55
0.0,1.275,1.135,0.456,0.551,0.55
0.0,1.31,1.246,0.309,0.551,0.55
0.0,1.292,1.112,0.509,0.551,0.55
0.0,1.296,1.148,0.464,0.551,0.55
0.0,1.297,1.14,0.476,0.551,0.55
0.0,1.3,1.168,0.439,0.551,0.55
0.0,1.324,1.129,0.522,0.551,0.55
0.0,1.307,1.215,0.368,0.551,0.55
0.0,1.264,1.177,0.365,0.551,0.55
0.0,1.344,1.175,0.486,0.551,0.55
0.0,1.311,1.075,0.572,0.551,0.55
0.0,1.282,1.181,0.389,0.551,0.55
0.0,1.345,1.201,0.45,0.551,0.55
0.0,1.333,1.257,0.334,0.551,0.55
0.0,1.301,1.182,0.419,0.551,0.55
0.0,1.291,1.108,0.514,0.551,0.55
0.0,1.309,1.148,0.48,0.551,0.55
0.0,1.29,1.098,0.525,0.551,0.55
0.0,1.272,1.206,0.316,0.551,0.55
0.0,1.351,1.193,0.469,0.551,0.55
0.0,1.329,1.185,0.453,0.551,0.55
0.0,1.303,1.137,0.489,0.551,0.55
0.0,1.309,1.116,0.522,0.551,0.55
0.0,1.324,1.122,0.531,0.551,0.55
0.0,1.279,1.231,0.271,0.551,0.55
0.0,1.353,1.189,0.477,0.551,0.55
0.0,1.376,1.095,0.605,0.551,0.55
0.0,1.272,1.062,0.55,0.551,0.55
0.0,1.303,1.222,0.347,0.551,0.55
0.0,1.334,1.279,0.284,0.551,0.55
0.0,1.283,1.234,0.275,0.551,0.55
0.0,1.31,1.229,0.344,0.551,0.55
0.0,1.247,1.196,0.283,0.551,0.55
0.0,1.291,1.17,0.422,0.551,0.55
0.0,1.281,1.106,0.505,0.551,0.55
0.0,1.258,1.072,0.523,0.551,0.55
0.0,1.351,1.189,0.476,0.551,0.55
0.0,1.291,1.244,0.266,0.551,0.55
0.0,1.303,1.244,0.296,0.551,0.55
0.0,1.251,1.103,0.473,0.551,0.55
0.0,1.285,1.174,0.406,0.551,0.55
0.0,1.273,1.185,0.366,0.551,0.55
0.0,1.279,1.228,0.278,0.551,0.55
0.1,1.287,1.221,0.318,0.542,0.551
0.1,1.329,1.091,0.57,0.542,0.551
0.1,1.243,1.16,0.359,0.542,0.551
0.1,1.292,1.184,0.401,0.542,0.551
0.1,1.369,1.188,0.496,0.542,0.551
0.1,1.303,1.249,0.285,0.542,0.551
0.1,1.213,1.116,0.392,0.542,0.551
0.1,1.224,1.095,0.447,0.542,0.551
0.1,1.232,1.195,0.242,0.542,0.551
0.1,1.279,1.247,0.222,0.542,0.551
0.1,1.29,1.245,0.264,0.542,0.551
0.1,1.359,1.076,0.611,0.542,0.551
0.1,1.299,1.177,0.423,0.542,0.551
0.1,1.315,1.217,0.38,0.542,0.551
0.1,1.285,1.217,0.319,0.542,0.551
0.1,1.266,1.209,0.297,0.542,0.551
0.1,1.324,1.221,0.387,0.542,0.551
0.1,1.269,1.133,0.449,0.542,0.551
0.1,1.235,1.171,0.316,0.542,0.551
0.1,1.355,1.113,0.57,0.542,0.551
0.1,1.231,1.124,0.407,0.542,0.551
0.1,1.374,1.194,0.495,0.542,0.551
0.1,1.349,1.183,0.48,0.542,0.551
0.1,1.341,1.204,0.44,0.542,0.551
0.1,1.274,1.075,0.536,0.542,0.551
0.1,1.352,1.199,0.461,0.542,0.551
0.1,1.34,1.243,0.372,0.542,0.551
0.1,1.34,1.104,0.567,0.542,0.551
0.1,1.321,1.197,0.424,0.542,0.551
0.1,1.321,1.116,0.534,0.542,0.551
0.1,1.32,1.225,0.372,0.542,0.551
0.1,1.306,1.256,0.273,0.542,0.551
0.1,1.317,1.077,0.576,0.542,0.551
0.1,1.403,1.163,0.559,0.542,0.551
0.1,1.352,1.161,0.513,0.542,0.551
0.1,1.26,1.188,0.334,0.542,0.551
0.1,1.32,1.155,0.485,0.542,0.551
0.1,1.516,1.125,0.671,0.542,0.551
0.1,1.353,1.237,0.405,0.542,0.551
0.1,1.317,1.19,0.429,0.542,0.551
0.1,1.316,1.166,0.464,0.542,0.551
0.1,1.282,1.186,0.38,0.542,0.551
0.1,1.3,1.17,0.435,0.542,0.551
0.1,1.323,1.185,0.446,0.542,0.551
0.1,1.314,1.197,0.413,0.542,0.551
0.1,1.274,1.182,0.374,0.542,0.551
0.1,1.291,1.183,0.4,0.542,0.551
0.1,1.332,1.056,0.609,0.542,0.551
0.1,1.344,1.092,0.583,0.542,0.551
0.1,1.289,1.162,0.433,0.542,0.551
0.2,1.255,1.23,0.199,0.551,0.562
0.2,1.258,1.185,0.335,0.551,0.562
0.2,1.312,1.284,0.207,0.551,0.562
0.2,1.316,1.131,0.51,0.551,0.562
0.2,1.365,1.17,0.514,0.551,0.562
0.2,1.235,1.14,0.383,0.551,0.562
0.2,1.346,1.236,0.395,0.551,0.562
0.2,1.398,1.085,0.631,0.551,0.562
0.2,1.354,1.104,0.578,0.551,0.562
0.2,1.285,1.244,0.25,0.551,0.562
0.2,1.324,1.31,0.146,0.551,0.562
0.2,1.266,1.248,0.17,0.551,0.562
0.2,1.273,1.242,0.217,0.551,0.562
0.2,1.234,1.12,0.42,0.551,0.562
0.2,1.317,1.211,0.394,0.551,0.562
0.2,1.244,1.106,0.458,0.551,0.562
0.2,1.292,1.237,0.288,0.551,0.562
0.2,1.247,1.165,0.358,0.551,0.562
0.2,1.327,1.143,0.509,0.551,0.562
0.2,1.325,1.115,0.54,0.551,0.562
0.2,1.283,1.105,0.507,0.551,0.562
0.2,1.316,1.251,0.312,0.551,0.562
0.2,1.322,1.234,0.36,0.551,0.562
0.2,1.283,1.005,0.621,0.551,0.562
0.2,1.322,1.14,0.506,0.551,0.562
0.2,1.318,1.182,0.442,0.551,0.562
0.2,1.35,1.244,0.389,0.551,0.562
0.2,1.294,1.262,0.22,0.551,0.562
0.2,1.315,1.236,0.341,0.551,0.562
0.2,1.36,1.151,0.532,0.551,0.562
0.2,1.278,1.209,0.324,0.551,0.562
0.2,1.46,1.058,0.689,0.551,0.562
0.2,1.356,1.195,0.472,0.551,0.562
0.2,1.322,1.152,0.492,0.551,0.562
0.2,1.247,1.202,0.265,0.551,0.562
0.2,1.334,1.224,0.399,0.551,0.562
0.2,1.306,1.198,0.398,0.551,0.562
0.2,1.319,1.197,0.42,0.551,0.562
0.2,1.341,1.137,0.53,0.551,0.562
