true_angle,semi_major_axis,semi_minor_axis,eccentricity,mean_x,mean_y,std_x,std_y
0.0,1.297,1.204,0.371,-3.502,0.002,0.565,0.596
0.0,1.346,1.29,0.284,-3.502,0.002,0.565,0.596
0.0,1.293,1.241,0.282,-3.502,0.002,0.565,0.596
0.0,1.236,1.196,0.252,-3.502,0.002,0.565,0.596
0.0,1.299,1.116,0.511,-3.502,0.002,0.565,0.596
0.0,1.293,1.237,0.291,-3.502,0.002,0.565,0.596
0.0,1.265,1.174,0.373,-3.502,0.002,0.565,0.596
0.0,1.309,1.09,0.554,-3.502,0.002,0.565,0.596
0.0,1.256,1.181,0.34,-3.502,0.002,0.565,0.596
0.0,1.302,1.244,0.296,-3.502,0.002,0.565,0.596
0.0,1.338,1.222,0.407,-3.502,0.002,0.565,0.596
0.0,1.351,1.242,0.394,-3.502,0.002,0.565,0.596
0.0,1.315,1.105,0.542,-3.502,0.002,0.565,0.596
0.0,1.304,1.215,0.362,-3.502,0.002,0.565,0.596
0.0,1.348,1.2,0.455,-3.502,0.002,0.565,0.596
0.0,1.32,1.195,0.424,-3.502,0.002,0.565,0.596
0.0,1.284,1.166,0.419,-3.502,0.002,0.565,0.596
0.0,1.382,1.086,0.618,-3.502,0.002,0.565,0.596
0.0,1.303,1.164,0.45,-3.502,0.002,0.565,0.596
0.0,1.347,1.168,0.497,-3.502,0.002,0.565,0.596
0.0,1.276,1.239,0.241,-3.502,0.002,0.565,0.596
0.0,1.339,1.174,0.481,-3.502,0.002,0.565,0.596
0.0,1.32,1.194,0.427,-3.502,0.002,0.565,0.596
0.0,1.296,1.145,0.469,-3.502,0.002,0.565,0.596
0.0,1.295,1.274,0.176,-3.502,0.002,0.565,0.596
0.0,1.312,1.138,0.497,-3.502,0.002,0.565,0.596
0.0,1.31,1.13,0.505,-3.502,0.002,0.565,0.596
0.0,1.281,1.115,0.492,-3.502,0.002,0.565,0.596
0.0,1.279,1.174,0.397,-3.502,0.002,0.565,0.596
0.0,1.295,1.26,0.229,-3.502,0.002,0.565,0.596
0.0,1.363,1.137,0.551,-3.502,0.002,0.565,0.596
0.0,1.357,1.159,0.52,-3.502,0.002,0.565,0.596
0.0,1.334,1.182,0.464,-3.502,0.002,0.565,0.596
0.0,1.293,1.262,0.218,-3.502,0.002,0.565,0.596
0.0,1.346,1.314,0.214,-3.502,0.002,0.565,0.596
0.0,1.289,1.201,0.363,-3.502,0.002,0.565,0.596
0.0,1.287,1.18,0.398,-3.502,0.002,0.565,0.596
