true_angle,semi_major_axis,semi_minor_axis,eccentricity,convex_hull_area,convex_hull_perimeter,max_distance,aspect_ratio,area_to_perimeter_ratio,ellipticity
0.0,1.179,1.147,0.233,3.809,7.163,2.401,0.97,0.532,1.072
0.0,1.273,1.011,0.608,3.385,6.873,2.401,1.183,0.493,1.11
0.0,1.238,1.161,0.347,4.174,7.427,2.442,1.013,0.562,1.052
0.0,1.221,1.1,0.434,3.658,7.055,2.418,1.107,0.519,1.083
0.0,1.215,1.085,0.45,3.582,6.978,2.378,0.96,0.513,1.082
0.0,1.21,1.156,0.296,3.872,7.249,2.398,0.977,0.534,1.08
0.0,1.239,1.18,0.306,4.187,7.455,2.468,0.973,0.562,1.056
0.0,1.26,1.14,0.425,4.009,7.323,2.453,1.067,0.548,1.064
0.0,1.191,1.071,0.438,3.637,6.996,2.413,0.969,0.52,1.071
0.0,1.243,1.142,0.396,4.237,7.417,2.483,0.924,0.571,1.033
0.0,1.212,1.193,0.175,4.276,7.473,2.461,1.023,0.572,1.039
0.0,1.243,1.138,0.403,3.937,7.281,2.45,0.995,0.541,1.072
0.0,1.231,1.092,0.462,3.777,7.151,2.467,0.858,0.528,1.077
0.0,1.189,1.125,0.324,3.895,7.166,2.395,0.896,0.543,1.049
0.0,1.212,1.112,0.397,3.857,7.157,2.475,0.927,0.539,1.057
0.0,1.248,1.06,0.528,3.921,7.208,2.484,1.112,0.544,1.054
0.0,1.285,1.03,0.598,3.609,7.054,2.441,1.173,0.512,1.097
0.0,1.237,1.071,0.501,3.635,7.074,2.418,0.883,0.514,1.096
0.0,1.259,1.131,0.439,3.869,7.245,2.474,0.982,0.534,1.08
0.0,1.236,1.114,0.433,4.002,7.29,2.449,0.871,0.549,1.057
0.0,1.213,1.192,0.185,4.333,7.487,2.443,0.953,0.579,1.03
0.0,1.228,1.134,0.383,3.925,7.257,2.492,0.963,0.541,1.068
0.0,1.227,1.116,0.416,3.94,7.264,2.466,0.985,0.542,1.066
0.0,1.178,1.169,0.122,3.957,7.252,2.389,1.029,0.546,1.058
0.0,1.198,1.173,0.201,4.113,7.369,2.483,0.965,0.558,1.051
0.0,1.207,1.146,0.313,3.981,7.287,2.414,1.02,0.546,1.062
0.0,1.216,1.118,0.394,3.76,7.121,2.414,0.933,0.528,1.073
0.0,1.261,1.174,0.365,4.273,7.52,2.471,0.964,0.568,1.053
0.0,1.232,1.135,0.39,4.08,7.326,2.476,0.88,0.557,1.047
0.0,1.195,1.165,0.221,4.044,7.301,2.417,0.998,0.554,1.049
0.0,1.219,1.194,0.2,4.225,7.449,2.452,1.006,0.567,1.045
0.0,1.212,1.123,0.377,3.957,7.261,2.423,1.014,0.545,1.06
0.0,1.22,1.133,0.371,3.751,7.19,2.443,1.08,0.522,1.097
0.0,1.19,1.146,0.268,3.9,7.198,2.392,0.975,0.542,1.057
0.0,1.212,1.101,0.418,3.847,7.169,2.443,1.055,0.537,1.063
0.0,1.242,1.118,0.435,4.016,7.298,2.459,0.973,0.55,1.055
0.0,1.267,1.113,0.478,4.129,7.354,2.465,0.917,0.561,1.042
0.0,1.23,1.153,0.349,4.054,7.335,2.437,1.006,0.553,1.056
0.0,1.197,1.156,0.259,4.016,7.29,2.471,1.082,0.551,1.053
0.0,1.193,1.158,0.24,3.948,7.249,2.432,1.029,0.545,1.059
0.0,1.206,1.189,0.165,4.04,7.408,2.443,1.02,0.545,1.081
0.0,1.269,1.109,0.485,4.087,7.361,2.487,1.0,0.555,1.055
0.0,1.187,1.136,0.29,3.864,7.237,2.448,0.945,0.534,1.079
0.0,1.155,1.072,0.371,3.534,6.86,2.317,0.954,0.515,1.06
0.0,1.208,1.179,0.22,4.177,7.416,2.463,1.007,0.563,1.048
0.0,1.206,1.168,0.248,4.171,7.366,2.427,0.979,0.566,1.035
0.0,1.167,1.116,0.293,3.649,7.021,2.411,1.042,0.52,1.075
0.0,1.213,1.144,0.334,3.921,7.27,2.49,1.065,0.539,1.073
0.0,1.254,1.148,0.403,3.984,7.323,2.408,0.94,0.544,1.071
0.0,1.229,1.114,0.422,3.768,7.128,2.373,1.052,0.529,1.073
0.0,1.153,1.019,0.468,3.29,6.706,2.358,1.09,0.491,1.088
0.0,1.216,1.176,0.256,4.191,7.417,2.441,1.003,0.565,1.045
0.0,1.216,1.182,0.234,4.195,7.429,2.453,0.995,0.565,1.047
0.0,1.208,1.147,0.315,3.846,7.201,2.406,0.976,0.534,1.073
0.0,1.226,1.138,0.372,4.009,7.318,2.429,1.005,0.548,1.063
0.0,1.208,1.158,0.286,4.034,7.341,2.488,1.027,0.55,1.063
0.0,1.228,1.142,0.368,4.128,7.367,2.476,0.921,0.56,1.046
0.0,1.207,1.142,0.324,4.058,7.351,2.454,0.956,0.552,1.06
0.0,1.201,1.106,0.39,3.811,7.116,2.388,0.928,0.536,1.057
0.0,1.226,1.172,0.292,4.232,7.436,2.446,0.987,0.569,1.04
0.0,1.206,1.182,0.198,4.135,7.4,2.472,1.059,0.559,1.054
0.0,1.198,1.149,0.285,3.893,7.221,2.404,1.058,0.539,1.066
0.0,1.216,1.122,0.386,3.768,7.156,2.44,0.962,0.527,1.081
0.0,1.243,1.085,0.488,3.831,7.165,2.486,0.9,0.535,1.067
0.0,1.197,1.182,0.157,3.933,7.329,2.502,0.964,0.537,1.087
0.0,1.206,1.129,0.351,3.869,7.17,2.411,1.053,0.54,1.057
0.0,1.222,1.163,0.307,4.247,7.472,2.478,0.937,0.568,1.046
0.0,1.238,1.075,0.497,3.806,7.148,2.458,0.919,0.532,1.068
0.0,1.214,1.11,0.404,3.966,7.23,2.449,0.897,0.549,1.049
0.0,1.243,1.011,0.582,3.498,6.92,2.413,1.037,0.505,1.089
0.0,1.224,1.119,0.406,3.893,7.227,2.433,0.965,0.539,1.067
0.0,1.213,1.135,0.354,3.919,7.239,2.446,1.067,0.541,1.064
0.0,1.259,1.158,0.393,4.012,7.381,2.467,0.987,0.544,1.08
0.0,1.228,1.176,0.288,4.118,7.402,2.454,1.003,0.556,1.059
0.0,1.191,1.132,0.313,3.86,7.199,2.421,1.058,0.536,1.069
0.0,1.223,1.121,0.401,3.59,7.053,2.381,0.945,0.509,1.103
0.0,1.209,1.163,0.275,3.844,7.247,2.489,0.962,0.53,1.087
0.0,1.255,1.067,0.527,3.899,7.205,2.416,0.985,0.541,1.06
0.0,1.252,1.17,0.356,4.058,7.404,2.463,0.996,0.548,1.075
0.0,1.211,1.13,0.36,3.939,7.28,2.431,1.146,0.541,1.07
0.0,1.176,1.151,0.206,3.886,7.226,2.412,1.03,0.538,1.069
0.0,1.231,1.138,0.381,4.07,7.319,2.441,1.134,0.556,1.047
0.0,1.243,1.13,0.416,4.07,7.355,2.454,1.071,0.553,1.058
0.0,1.229,1.04,0.533,3.725,7.068,2.503,0.862,0.527,1.067
0.0,1.269,1.131,0.454,4.14,7.4,2.466,1.118,0.559,1.053
0.0,1.206,1.193,0.147,4.058,7.357,2.42,1.024,0.552,1.061
0.0,1.229,1.158,0.335,3.997,7.33,2.475,1.086,0.545,1.07
0.0,1.198,1.127,0.339,3.82,7.122,2.353,0.989,0.536,1.057
0.0,1.219,1.136,0.361,4.077,7.312,2.497,1.067,0.558,1.043
0.0,1.251,1.136,0.419,4.026,7.334,2.494,1.041,0.549,1.063
0.0,1.213,1.143,0.334,3.961,7.254,2.394,0.961,0.546,1.057
0.0,1.208,1.115,0.384,3.893,7.17,2.42,0.93,0.543,1.051
0.0,1.22,1.175,0.27,4.013,7.34,2.455,0.956,0.547,1.068
0.0,1.176,1.136,0.259,3.857,7.164,2.384,0.944,0.538,1.059
0.0,1.193,1.14,0.295,3.918,7.193,2.426,1.064,0.545,1.051
0.0,1.2,1.117,0.364,3.958,7.204,2.411,0.965,0.549,1.043
0.0,1.242,1.165,0.347,4.139,7.424,2.493,0.95,0.558,1.06
0.0,1.237,1.156,0.356,4.221,7.433,2.447,1.022,0.568,1.042
0.0,1.176,1.134,0.266,3.887,7.193,2.415,1.003,0.54,1.059
0.0,1.243,1.139,0.399,4.198,7.393,2.503,0.988,0.568,1.036
0.2,1.195,1.078,0.431,3.733,7.027,2.361,1.017,0.531,1.053
0.2,1.207,1.118,0.378,3.949,7.235,2.468,1.134,0.546,1.055
0.2,1.197,1.09,0.414,3.553,6.97,2.435,0.973,0.51,1.088
0.2,1.222,1.121,0.398,3.94,7.239,2.443,0.911,0.544,1.058
0.2,1.255,1.124,0.445,3.963,7.271,2.424,0.933,0.545,1.062
0.2,1.217,1.138,0.354,4.041,7.286,2.469,1.057,0.555,1.046
0.2,1.212,1.039,0.515,3.665,7.006,2.395,0.933,0.523,1.066
0.2,1.191,1.112,0.357,3.828,7.129,2.391,1.012,0.537,1.057
0.2,1.216,1.131,0.367,3.945,7.234,2.43,0.961,0.545,1.056
0.2,1.236,1.12,0.424,3.969,7.293,2.444,0.955,0.544,1.067
0.2,1.205,1.202,0.074,3.934,7.298,2.413,0.939,0.539,1.077
0.2,1.206,1.191,0.158,4.187,7.423,2.46,1.007,0.564,1.047
0.2,1.25,1.085,0.497,3.799,7.199,2.478,0.926,0.528,1.086
0.2,1.211,1.047,0.501,3.688,7.008,2.46,1.125,0.526,1.06
0.2,1.169,1.019,0.49,3.433,6.799,2.359,0.899,0.505,1.072
0.2,1.241,1.052,0.531,3.756,7.098,2.43,1.048,0.529,1.067
0.2,1.202,1.162,0.256,3.959,7.276,2.404,1.081,0.544,1.064
0.2,1.227,1.191,0.239,4.204,7.466,2.435,0.988,0.563,1.055
0.2,1.238,1.14,0.39,4.111,7.362,2.46,1.087,0.558,1.049
0.2,1.22,1.152,0.328,4.08,7.321,2.45,0.974,0.557,1.046
0.2,1.249,1.136,0.415,3.89,7.27,2.457,0.952,0.535,1.081
0.2,1.233,1.164,0.33,4.06,7.343,2.425,0.966,0.553,1.057
0.2,1.202,1.113,0.378,3.877,7.187,2.41,0.937,0.539,1.06
0.2,1.175,1.124,0.289,3.862,7.176,2.404,1.041,0.538,1.061
0.2,1.194,1.119,0.35,3.897,7.156,2.405,1.017,0.545,1.046
0.2,1.208,1.145,0.319,4.025,7.303,2.441,0.96,0.551,1.054
0.2,1.224,1.083,0.466,3.714,7.095,2.399,0.958,0.523,1.079
0.2,1.243,1.111,0.449,4.033,7.314,2.439,0.878,0.551,1.056
0.2,1.208,1.122,0.371,3.905,7.186,2.415,0.986,0.544,1.052
0.2,1.21,1.147,0.318,3.879,7.226,2.444,0.927,0.537,1.071
0.2,1.242,1.196,0.268,4.388,7.552,2.503,0.985,0.581,1.034
0.2,1.216,1.192,0.198,4.285,7.473,2.449,0.994,0.573,1.037
0.2,1.185,1.077,0.417,3.614,6.965,2.385,1.107,0.519,1.068
0.2,1.231,1.169,0.313,3.923,7.285,2.456,0.881,0.538,1.077
0.2,1.196,1.157,0.255,4.032,7.319,2.454,0.978,0.551,1.057
0.2,1.169,1.085,0.372,3.579,6.889,2.324,0.939,0.519,1.055
0.2,1.246,1.198,0.276,4.18,7.472,2.487,1.003,0.559,1.063
0.2,1.211,1.171,0.256,3.894,7.273,2.431,1.006,0.535,1.081
0.2,1.203,1.097,0.409,3.774,7.101,2.43,1.111,0.532,1.063
0.2,1.206,1.175,0.228,3.904,7.272,2.394,0.974,0.537,1.078
0.2,1.157,1.031,0.453,3.521,6.839,2.386,1.125,0.515,1.057
0.2,1.241,1.16,0.356,4.159,7.421,2.479,1.049,0.56,1.054
0.2,1.223,1.075,0.477,3.748,7.131,2.435,0.98,0.525,1.08
0.2,1.217,1.157,0.308,3.845,7.233,2.444,1.014,0.532,1.083
0.2,1.205,1.168,0.244,4.162,7.373,2.469,1.06,0.565,1.039
0.2,1.199,1.141,0.307,4.024,7.251,2.405,0.983,0.555,1.04
0.2,1.213,1.133,0.357,4.04,7.295,2.463,0.969,0.554,1.048
0.2,1.206,1.131,0.349,3.942,7.246,2.458,0.963,0.544,1.06
0.2,1.183,1.122,0.318,3.778,7.14,2.372,1.033,0.529,1.074
0.2,1.165,1.129,0.246,3.85,7.136,2.376,1.027,0.539,1.053
0.2,1.241,1.089,0.479,3.848,7.19,2.492,0.925,0.535,1.069
0.2,1.231,1.09,0.464,3.926,7.19,2.466,1.031,0.546,1.048
0.2,1.209,1.157,0.288,3.829,7.218,2.426,0.992,0.53,1.083
0.2,1.248,1.134,0.417,4.048,7.329,2.464,1.066,0.552,1.056
0.2,1.139,1.12,0.181,3.821,7.064,2.351,1.035,0.541,1.039
