true_angle,semi_major_axis,semi_minor_axis,eccentricity,convex_hull_area,convex_hull_perimeter
0.0,1.488,1.397,0.344,5.837,8.854
0.0,1.495,1.358,0.418,5.689,8.755
0.0,1.461,1.37,0.347,5.858,8.766
0.0,1.484,1.414,0.303,6.026,8.924
0.0,1.69,1.433,0.531,6.649,9.543
0.0,1.442,1.378,0.296,5.862,8.828
0.0,1.45,1.325,0.406,5.566,8.58
0.0,1.505,1.399,0.369,5.663,8.77
0.0,1.509,1.314,0.491,5.791,8.78
0.0,1.429,1.368,0.288,5.837,8.731
0.1,1.502,1.36,0.424,6.04,8.91
0.1,1.486,1.427,0.279,5.911,8.934
0.1,1.448,1.34,0.379,5.437,8.538
0.1,1.432,1.384,0.257,5.804,8.806
0.1,1.497,1.369,0.404,5.941,8.972
0.1,1.506,1.335,0.463,5.715,8.747
0.1,1.469,1.412,0.274,6.124,9.013
0.1,1.462,1.417,0.246,6.235,8.995
0.1,1.503,1.427,0.315,6.126,8.996
0.1,1.568,1.305,0.554,5.531,8.666
0.2,1.537,1.411,0.397,6.144,9.03
0.2,1.45,1.385,0.296,5.802,8.809
0.2,1.491,1.39,0.362,6.064,8.919
0.2,1.459,1.313,0.435,5.455,8.575
0.2,1.472,1.382,0.345,5.883,8.811
0.2,1.502,1.386,0.385,5.867,8.84
0.2,1.483,1.441,0.236,5.809,8.899
0.2,1.454,1.43,0.179,6.179,8.979
0.2,1.475,1.464,0.125,6.186,9.07
0.2,1.474,1.423,0.261,6.168,9.012
0.3,1.528,1.355,0.462,6.213,9.026
0.3,1.471,1.384,0.337,5.822,8.825
0.3,1.503,1.407,0.351,6.022,8.982
0.3,1.438,1.307,0.418,5.403,8.56
0.3,1.505,1.284,0.523,5.565,8.63
0.3,1.496,1.386,0.377,5.872,8.848
0.3,1.461,1.382,0.325,5.978,8.883
0.3,1.43,1.379,0.264,5.696,8.689
0.3,1.456,1.262,0.499,5.143,8.377
0.3,1.48,1.368,0.383,5.653,8.7
0.4,1.435,1.319,0.393,5.45,8.576
0.4,1.479,1.333,0.433,5.636,8.732
0.4,1.484,1.453,0.204,6.248,9.052
0.4,1.409,1.193,0.532,4.833,8.22
0.4,1.48,1.37,0.378,6.01,8.85
0.4,1.484,1.442,0.235,6.367,9.106
0.4,1.464,1.335,0.411,5.671,8.662
0.4,1.495,1.385,0.377,6.042,8.949
0.4,1.448,1.314,0.421,5.493,8.583
0.4,1.444,1.397,0.255,5.836,8.791
0.5,1.488,1.346,0.426,5.803,8.769
0.5,1.464,1.338,0.406,5.671,8.673
0.5,1.487,1.355,0.412,6.031,8.867
0.5,1.389,1.336,0.272,4.913,8.283
0.5,1.475,1.444,0.201,6.282,9.109
0.5,1.477,1.409,0.299,6.182,8.989
0.5,1.404,1.389,0.145,5.576,8.621
0.5,1.45,1.377,0.312,5.723,8.746
0.5,1.399,1.34,0.288,5.466,8.486
0.5,1.448,1.338,0.382,5.778,8.704
0.6,1.496,1.36,0.417,5.937,8.896
0.6,1.452,1.365,0.34,5.607,8.691
0.6,1.485,1.351,0.415,5.634,8.713
0.6,1.466,1.321,0.433,5.281,8.54
0.6,1.403,1.321,0.337,5.603,8.508
0.6,1.487,1.25,0.542,5.039,8.294
0.6,1.485,1.434,0.259,6.139,9.013
0.6,1.444,1.368,0.32,5.86,8.772
0.6,1.474,1.395,0.324,6.04,8.891
0.6,1.494,1.427,0.296,6.088,9.008
0.7,1.501,1.376,0.399,5.877,8.872
0.7,1.486,1.399,0.337,5.946,8.922
0.7,1.453,1.401,0.266,5.829,8.841
0.7,1.508,1.404,0.365,5.928,8.939
0.7,1.467,1.381,0.338,5.771,8.742
0.7,1.518,1.218,0.597,5.362,8.494
