true_angle,convex_hull_area,convex_hull_perimeter,circularity,photon_density,mean_pairwise_distance,max_pairwise_distance,min_pairwise_distance,pairwise_entropy
0.0,4.149,7.452,0.939,31.815,0.87,2.506,0.0,2.7
0.0,3.921,7.223,0.944,38.513,0.873,2.49,0.0,2.683
0.0,3.808,7.151,0.936,30.991,0.868,2.469,0.0,2.696
0.0,4.013,7.291,0.949,28.903,0.924,2.415,0.0,2.762
0.0,4.083,7.396,0.938,24.735,0.908,2.478,0.0,2.741
0.0,3.848,7.2,0.933,28.585,0.872,2.407,0.0,2.711
0.0,3.806,7.169,0.931,32.319,0.849,2.388,0.0,2.729
0.0,3.933,7.219,0.949,29.999,0.896,2.436,0.0,2.751
0.0,3.47,6.858,0.927,28.823,0.826,2.417,0.0,2.663
0.0,4.192,7.44,0.952,30.771,0.915,2.438,0.0,2.752
0.0,3.769,7.156,0.925,29.186,0.845,2.384,0.0,2.713
0.0,4.142,7.405,0.949,31.869,0.938,2.46,0.0,2.742
0.0,3.956,7.32,0.928,28.315,0.868,2.465,0.0,2.7
0.0,4.142,7.364,0.96,32.354,0.925,2.414,0.0,2.76
0.0,3.582,7.008,0.916,32.383,0.868,2.331,0.0,2.749
0.0,4.133,7.408,0.946,26.129,0.966,2.481,0.0,2.755
0.0,3.801,7.22,0.916,32.627,0.911,2.45,0.0,2.734
0.0,4.043,7.345,0.942,27.458,0.901,2.391,0.0,2.765
0.0,3.892,7.229,0.936,30.316,0.924,2.402,0.0,2.746
0.0,3.955,7.236,0.949,30.849,0.888,2.423,0.0,2.746
0.0,3.43,6.945,0.894,29.738,0.857,2.429,0.0,2.701
0.0,3.736,7.046,0.946,30.249,0.824,2.389,0.0,2.684
0.0,3.73,7.081,0.935,34.318,0.822,2.446,0.0,2.662
0.0,3.866,7.292,0.914,23.796,0.897,2.413,0.0,2.763
0.0,3.919,7.269,0.932,31.644,0.879,2.454,0.0,2.727
0.0,3.815,7.176,0.931,27.001,0.878,2.469,0.0,2.719
0.0,4.057,7.383,0.935,25.883,0.902,2.496,0.0,2.721
0.0,3.632,6.925,0.952,30.01,0.872,2.359,0.0,2.729
0.0,4.082,7.323,0.956,26.704,0.876,2.407,0.0,2.724
0.0,3.739,7.186,0.91,22.736,0.906,2.458,0.0,2.744
0.0,3.878,7.149,0.954,27.073,0.932,2.404,0.0,2.771
0.0,4.178,7.381,0.964,29.441,0.958,2.493,0.0,2.751
0.0,4.028,7.296,0.951,28.299,0.913,2.443,0.0,2.744
0.0,4.003,7.247,0.958,25.983,0.888,2.427,0.0,2.735
0.0,4.163,7.388,0.958,25.705,0.9,2.443,0.0,2.754
0.0,3.789,7.137,0.935,31.668,0.911,2.459,0.0,2.732
0.0,3.921,7.284,0.929,28.819,0.895,2.429,0.0,2.725
0.0,4.123,7.371,0.954,30.321,0.922,2.446,0.0,2.74
0.0,3.731,7.105,0.929,28.142,0.862,2.405,0.0,2.727
0.0,3.704,7.024,0.943,30.508,0.855,2.357,0.0,2.687
0.0,4.099,7.393,0.942,26.838,0.906,2.505,0.0,2.722
0.0,3.868,7.108,0.962,26.627,0.921,2.335,0.0,2.784
0.0,3.652,7.12,0.905,29.295,0.844,2.418,0.0,2.679
0.0,3.887,7.235,0.933,32.16,0.883,2.466,0.0,2.739
0.0,4.002,7.309,0.941,28.486,0.919,2.467,0.0,2.747
0.0,3.631,6.941,0.947,30.017,0.865,2.33,0.0,2.767
0.0,4.093,7.344,0.953,29.564,0.898,2.488,0.0,2.736
0.0,4.071,7.356,0.945,25.549,0.93,2.448,0.0,2.745
0.0,4.092,7.342,0.954,32.501,0.859,2.392,0.0,2.74
0.0,4.113,7.321,0.964,32.34,0.888,2.433,0.0,2.728
0.0,4.215,7.453,0.953,24.914,1.014,2.446,0.0,2.816
0.0,3.73,7.134,0.921,31.103,0.877,2.401,0.0,2.734
0.0,4.014,7.295,0.948,30.892,0.948,2.425,0.0,2.767
0.0,3.776,7.251,0.903,25.689,0.9,2.475,0.0,2.745
0.0,4.067,7.313,0.956,28.772,0.88,2.391,0.0,2.757
0.0,3.848,7.157,0.944,28.849,0.94,2.387,0.0,2.77
0.0,3.844,7.207,0.93,27.057,0.904,2.379,0.0,2.772
0.0,3.909,7.203,0.947,31.209,0.939,2.392,0.0,2.772
0.0,3.883,7.291,0.918,26.009,0.917,2.446,0.0,2.758
0.0,4.066,7.283,0.963,28.775,0.952,2.387,0.0,2.805
0.0,4.2,7.451,0.951,26.427,0.916,2.449,0.0,2.754
0.0,3.841,7.18,0.936,29.677,0.888,2.394,0.0,2.735
0.0,4.217,7.456,0.953,28.693,0.854,2.468,0.0,2.696
0.0,3.898,7.141,0.961,27.194,0.935,2.401,0.0,2.78
0.0,3.919,7.248,0.937,25.264,0.88,2.495,0.0,2.713
0.0,3.927,7.272,0.933,28.519,0.922,2.419,0.0,2.753
0.0,3.759,7.116,0.933,28.466,0.921,2.41,0.0,2.753
0.0,3.965,7.225,0.954,27.995,0.928,2.466,0.0,2.76
0.0,4.225,7.419,0.965,23.669,0.925,2.459,0.0,2.762
0.0,3.988,7.313,0.937,28.585,0.866,2.43,0.0,2.73
0.0,4.167,7.377,0.962,29.999,0.949,2.43,0.0,2.771
0.0,4.362,7.613,0.946,27.512,0.946,2.514,0.0,2.758
0.0,3.741,7.101,0.932,32.347,0.845,2.382,0.0,2.695
0.0,3.919,7.214,0.946,27.813,0.904,2.452,0.0,2.748
0.0,3.613,6.89,0.956,30.444,0.834,2.344,0.0,2.696
0.0,3.766,7.189,0.916,29.474,0.862,2.471,0.0,2.689
0.0,3.872,7.216,0.934,27.115,0.889,2.439,0.0,2.723
