true_angle,convex_hull_area,convex_hull_perimeter,mean_distance,std_distance,max_distance,point_density,aspect_ratio,circularity
0.0,928.305,113.876,11.886,5.606,21.713,0.05,1.278,0.9
0.0,1118.795,124.113,12.167,5.927,21.664,0.059,1.0,0.913
0.0,1159.172,127.296,12.231,6.058,22.767,0.043,0.869,0.899
0.0,991.506,114.889,11.762,5.879,22.097,0.056,1.001,0.944
0.0,991.162,119.975,9.692,6.254,22.591,0.051,0.899,0.865
0.0,1076.194,124.585,12.02,5.993,22.277,0.04,0.955,0.871
0.0,1038.314,120.252,10.59,6.415,21.821,0.052,1.096,0.902
0.0,1157.648,124.352,12.079,6.322,22.005,0.054,1.087,0.941
0.0,1078.515,121.305,11.329,5.796,21.468,0.053,0.908,0.921
0.0,1273.017,131.394,11.06,6.903,23.32,0.052,0.962,0.927
0.0,1086.471,121.948,11.098,5.422,22.38,0.062,1.046,0.918
0.0,1166.05,128.63,11.838,5.953,25.105,0.048,0.928,0.886
0.0,886.963,116.4,9.226,6.193,21.782,0.068,1.0,0.823
0.0,1219.712,128.739,11.569,6.82,22.876,0.043,1.044,0.925
0.0,1043.721,120.83,12.431,5.484,22.717,0.057,1.007,0.898
0.0,1047.918,120.093,11.183,6.36,24.105,0.053,0.843,0.913
0.0,1053.626,121.154,11.327,5.959,25.02,0.043,0.997,0.902
0.0,978.726,119.14,11.448,6.439,22.864,0.056,0.87,0.866
0.0,1256.352,130.932,12.62,6.352,23.243,0.049,0.928,0.921
0.0,1007.538,118.887,10.537,5.91,22.988,0.058,0.916,0.896
0.0,1262.778,130.583,12.038,6.607,23.763,0.054,0.955,0.931
0.0,1162.392,125.792,12.256,5.93,22.275,0.062,0.995,0.923
0.0,1141.903,124.863,11.28,6.964,23.667,0.045,0.957,0.92
0.0,1045.655,119.755,11.251,6.218,22.165,0.045,1.203,0.916
0.0,1159.972,125.198,10.685,6.324,22.358,0.065,1.201,0.93
0.0,764.034,107.979,10.705,5.764,22.864,0.047,0.82,0.823
0.0,985.309,118.0,11.012,6.186,21.698,0.059,0.961,0.889
0.0,1264.839,129.796,11.939,6.576,23.821,0.057,1.093,0.943
0.0,1091.633,121.158,12.007,5.877,22.39,0.06,1.161,0.935
0.0,1180.316,125.568,11.239,6.336,22.676,0.064,0.908,0.941
0.0,1129.046,125.222,11.33,6.51,22.657,0.048,0.954,0.905
0.0,1057.039,123.163,11.435,6.148,24.593,0.06,1.21,0.876
0.0,975.834,118.964,10.319,5.95,22.267,0.052,1.212,0.866
0.0,1110.805,124.868,11.251,6.253,23.689,0.054,0.999,0.895
0.0,1033.201,121.32,9.784,6.269,22.895,0.063,1.09,0.882
0.0,1245.434,130.352,12.575,6.369,24.006,0.053,1.042,0.921
0.0,1149.892,125.842,11.974,6.356,23.549,0.048,0.915,0.912
0.0,1035.78,123.3,10.643,6.4,22.947,0.059,1.063,0.856
0.0,986.795,119.064,10.24,5.739,22.702,0.061,0.997,0.875
0.0,871.658,111.915,10.419,5.305,20.727,0.071,0.952,0.875
0.0,987.449,120.109,11.375,5.962,22.604,0.064,1.05,0.86
0.0,1145.69,124.683,11.996,6.276,22.129,0.057,1.144,0.926
0.0,1163.001,124.581,11.198,6.311,21.205,0.048,1.0,0.942
0.0,1035.241,121.411,11.201,6.196,23.56,0.05,1.147,0.883
0.0,1267.471,130.668,11.438,6.326,23.746,0.049,1.043,0.933
0.0,1080.604,122.043,12.404,6.145,24.337,0.044,1.214,0.912
0.0,1067.285,120.936,10.465,6.598,23.402,0.05,0.877,0.917
0.0,1080.919,121.388,11.344,6.603,23.041,0.055,1.0,0.922
0.0,929.259,114.41,9.284,6.406,22.61,0.05,0.821,0.892
0.0,1123.261,127.463,10.823,6.483,24.056,0.059,0.904,0.869
0.0,1030.429,119.811,11.071,6.149,22.271,0.054,0.905,0.902
0.0,958.366,118.212,10.362,6.025,22.764,0.046,0.865,0.862
0.0,1228.269,128.83,11.864,6.477,23.823,0.047,1.09,0.93
0.0,1258.117,129.133,11.847,6.91,23.602,0.052,1.004,0.948
0.0,1089.672,122.391,11.764,5.737,21.728,0.046,1.048,0.914
0.0,1093.072,125.029,10.948,6.464,22.441,0.048,0.992,0.879
0.0,1109.919,125.45,11.934,6.117,24.385,0.05,1.133,0.886
0.0,1210.487,127.861,12.074,6.182,23.616,0.048,1.003,0.93
0.0,938.632,115.473,12.113,5.666,24.426,0.049,0.827,0.885
0.0,927.746,112.853,11.542,5.386,22.008,0.06,0.947,0.915
