true_angle,semi_major_axis,semi_minor_axis,eccentricity,convex_hull_area,convex_hull_perimeter,std_x,std_y
0.3,1.497,1.363,0.413,5.867,8.903,0.883,0.9
0.3,1.492,1.403,0.341,5.995,8.922,0.883,0.9
0.3,1.394,1.352,0.243,5.361,8.473,0.883,0.9
0.3,1.465,1.399,0.297,6.131,8.912,0.883,0.9
0.3,1.47,1.376,0.351,5.989,8.84,0.883,0.9
0.3,1.524,1.287,0.535,5.605,8.681,0.883,0.9
0.3,1.483,1.336,0.433,5.943,8.823,0.883,0.9
0.3,1.468,1.364,0.371,5.483,8.687,0.883,0.9
0.3,1.446,1.419,0.194,5.969,8.905,0.883,0.9
0.3,2.336,1.646,0.71,9.513,11.907,0.883,0.9
0.3,1.488,1.356,0.412,5.947,8.894,0.883,0.9
0.3,1.443,1.409,0.214,5.794,8.798,0.883,0.9
0.3,1.48,1.398,0.329,5.886,8.866,0.883,0.9
0.3,1.443,1.344,0.364,5.495,8.57,0.883,0.9
0.3,1.402,1.198,0.52,4.558,7.918,0.883,0.9
0.3,1.458,1.447,0.125,5.934,8.918,0.883,0.9
0.3,1.521,1.314,0.504,5.89,8.785,0.883,0.9
0.3,1.436,1.348,0.344,5.58,8.626,0.883,0.9
0.3,1.453,1.369,0.333,5.666,8.699,0.883,0.9
0.3,1.474,1.423,0.261,6.153,8.983,0.883,0.9
0.3,1.391,1.316,0.323,5.378,8.397,0.883,0.9
0.3,1.431,1.376,0.277,5.792,8.736,0.883,0.9
0.3,1.472,1.368,0.369,5.91,8.863,0.883,0.9
0.3,1.526,1.279,0.545,5.555,8.694,0.883,0.9
0.3,2.824,1.569,0.832,9.263,13.277,0.883,0.9
0.3,1.489,1.426,0.287,6.201,9.016,0.883,0.9
0.3,1.465,1.348,0.392,5.811,8.746,0.883,0.9
0.3,1.468,1.362,0.373,5.817,8.746,0.883,0.9
0.3,1.494,1.464,0.2,6.221,9.098,0.883,0.9
0.3,1.492,1.406,0.335,5.98,8.932,0.883,0.9
0.3,1.442,1.376,0.3,5.541,8.651,0.883,0.9
0.3,1.474,1.274,0.503,5.569,8.6,0.883,0.9
0.3,19568.401,117.093,1.0,9.427,13.829,0.883,0.9
0.3,1.472,1.412,0.282,5.939,8.871,0.883,0.9
0.3,1.502,1.431,0.304,6.456,9.136,0.883,0.9
0.3,1.453,1.415,0.226,5.892,8.858,0.883,0.9
0.3,1.489,1.396,0.349,5.99,8.895,0.883,0.9
0.3,1.443,1.339,0.374,5.666,8.644,0.883,0.9
0.3,1.472,1.383,0.342,5.753,8.812,0.883,0.9
0.3,1.493,1.343,0.438,5.905,8.798,0.883,0.9
0.3,1.41,1.379,0.21,5.604,8.622,0.883,0.9
0.3,1.514,1.387,0.4,5.889,8.962,0.883,0.9
0.3,1.474,1.36,0.384,5.854,8.802,0.883,0.9
0.3,1.426,1.416,0.116,5.934,8.811,0.883,0.9
0.3,1.458,1.394,0.293,5.668,8.735,0.883,0.9
0.3,1.514,1.378,0.414,6.145,8.979,0.883,0.9
0.3,1.472,1.365,0.373,5.894,8.836,0.883,0.9
0.3,1.463,1.331,0.415,5.472,8.598,0.883,0.9
0.3,1.473,1.433,0.231,6.0,8.953,0.883,0.9
0.3,1.469,1.38,0.342,5.959,8.884,0.883,0.9
0.3,1.429,1.283,0.439,5.447,8.45,0.883,0.9
0.3,1.483,1.256,0.532,5.239,8.44,0.883,0.9
0.3,1.463,1.435,0.195,6.284,9.016,0.883,0.9
0.3,1.476,1.377,0.36,5.888,8.828,0.883,0.9
0.3,1.524,1.393,0.405,5.931,8.988,0.883,0.9
0.3,1.46,1.392,0.302,5.968,8.856,0.883,0.9
0.3,1.493,1.375,0.39,5.977,8.881,0.883,0.9
0.3,1.481,1.414,0.296,6.121,8.991,0.883,0.9
0.3,1.495,1.438,0.274,6.211,9.027,0.883,0.9
0.3,1.468,1.324,0.431,5.815,8.75,0.883,0.9
0.3,1.517,1.325,0.487,5.805,8.781,0.883,0.9
0.3,1.468,1.393,0.316,5.678,8.767,0.883,0.9
0.3,1.5,1.336,0.455,5.759,8.809,0.883,0.9
0.3,1.392,1.32,0.318,5.274,8.448,0.883,0.9
0.3,1.476,1.442,0.213,6.269,9.046,0.883,0.9
0.3,1.435,1.351,0.337,5.175,8.466,0.883,0.9
0.3,1.526,1.407,0.386,6.389,9.125,0.883,0.9
0.3,1.454,1.336,0.395,5.686,8.698,0.883,0.9
0.3,1.504,1.342,0.452,5.636,8.727,0.883,0.9
0.3,1.495,1.455,0.229,6.354,9.111,0.883,0.9
0.3,1.448,1.421,0.193,6.114,8.96,0.883,0.9
0.3,1.478,1.242,0.542,5.297,8.424,0.883,0.9
0.3,1.505,1.355,0.434,5.649,8.707,0.883,0.9
0.3,1.479,1.397,0.328,6.126,8.953,0.883,0.9
0.3,1.5,1.403,0.353,5.928,8.888,0.883,0.9
