true_angle,semi_major_axis,semi_minor_axis,eccentricity,convex_hull_area,convex_hull_perimeter,std_x,std_y
0.1,1.524,1.323,0.497,5.789,8.795,0.921,0.873
0.4,1.435,1.378,0.28,5.668,8.688,0.845,0.878
0.0,1.517,1.349,0.457,5.847,8.831,0.879,0.928
0.2,1.399,1.335,0.298,5.304,8.421,0.81,1.017
1.0,1.505,1.368,0.417,5.937,8.843,0.78,0.983
0.3,1.5,1.348,0.44,5.983,8.859,0.933,0.815
1.2,1.47,1.377,0.349,5.99,8.86,0.965,0.876
0.5,1.464,1.396,0.302,6.021,8.862,0.883,0.893
0.6,1.434,1.388,0.25,5.282,8.547,0.819,0.831
1.1,2.778,1.689,0.794,10.58,12.928,0.926,1.107
0.7,1.452,1.344,0.378,5.849,8.775,0.877,0.923
0.9,1.531,1.426,0.364,6.301,9.114,0.858,0.944
0.8,1.459,1.414,0.246,5.578,8.709,0.818,0.924
1.3,1.457,1.396,0.287,6.002,8.899,0.95,0.821
1.5,1.478,1.388,0.345,5.711,8.765,0.8,0.964
1.4,1.456,1.353,0.369,5.533,8.65,0.866,0.886
2.0,1.467,1.346,0.397,5.875,8.749,0.874,0.871
1.8,1.419,1.349,0.31,5.501,8.568,0.949,0.838
2.2,1.53,1.305,0.522,5.511,8.675,0.932,0.801
2.6,1.476,1.436,0.233,5.947,8.924,0.937,0.798
2.3,1.498,1.406,0.345,5.777,8.847,0.887,0.882
2.1,1.525,1.366,0.445,5.989,8.922,0.901,0.831
1.6,1.462,1.389,0.312,5.844,8.822,0.921,0.857
2.4,1.513,1.408,0.366,6.098,9.009,0.894,0.949
2.8,1.488,1.253,0.539,5.08,8.3,0.891,0.83
1.7,1.52,1.33,0.485,5.9,8.878,0.932,0.866
2.5,1.543,1.356,0.477,5.932,8.9,0.863,0.906
3.0,1.488,1.31,0.475,5.703,8.697,0.929,0.816
2.9,1.492,1.431,0.284,6.271,9.071,0.911,0.889
2.7,1.46,1.388,0.312,5.891,8.857,0.86,0.934
