true_angle,mean_x,mean_y,std_x,std_y,skew_x,skew_y,kurt_x,kurt_y,mean_distance,max_distance,hull_area,hull_perimeter
0.0,3.479,-0.093,0.495,0.503,-0.024,0.436,-0.03,0.306,0.869,2.496,3.981,6.937
0.0,3.453,0.109,0.524,0.596,-0.187,0.01,-0.013,-0.202,0.977,2.641,4.713,7.601
0.0,3.544,0.04,0.575,0.684,-0.035,0.069,-0.366,-0.811,1.118,2.651,4.647,6.767
0.0,3.627,0.0,0.515,0.527,-0.302,0.1,0.253,-0.442,0.908,2.597,4.009,7.131
0.0,3.505,-0.032,0.585,0.535,-0.109,0.247,-0.409,0.02,0.988,2.607,4.639,7.401
0.0,3.521,-0.088,0.51,0.521,-0.184,-0.106,0.406,0.157,0.893,2.605,4.382,6.875
0.0,3.512,0.047,0.525,0.516,-0.028,-0.196,-0.081,-0.443,0.913,2.612,4.049,7.179
0.0,3.446,-0.097,0.498,0.599,-0.326,0.175,0.188,-0.015,0.96,2.657,4.643,7.23
0.0,3.536,-0.023,0.552,0.577,-0.044,0.027,-0.524,-0.374,0.997,2.638,4.567,6.765
0.0,3.349,-0.044,0.473,0.501,0.138,0.043,0.348,-0.107,0.848,2.401,3.323,6.513
0.1,3.392,-0.005,0.48,0.534,0.443,0.254,0.173,-0.173,0.888,2.561,3.772,6.605
0.1,3.39,-0.022,0.549,0.511,-0.558,-0.011,-0.195,-0.262,0.922,2.589,3.965,6.607
0.1,3.544,0.044,0.503,0.558,-0.111,0.39,0.214,0.1,0.922,2.491,3.615,6.647
0.1,3.482,0.013,0.538,0.574,0.11,0.009,-0.304,-0.548,0.979,2.675,4.324,6.673
0.1,3.483,0.002,0.531,0.502,-0.128,0.171,0.151,0.753,0.885,2.68,4.733,6.754
0.1,3.451,0.102,0.52,0.54,-0.174,0.16,-0.036,-0.432,0.917,2.568,4.066,6.78
0.1,3.423,-0.038,0.589,0.59,-0.29,-0.045,-0.77,-0.252,1.038,2.649,4.376,6.956
0.1,3.558,-0.068,0.575,0.498,0.27,0.317,-0.117,0.278,0.924,2.669,4.163,6.765
0.1,3.53,0.049,0.594,0.569,0.179,0.043,-0.411,-0.431,1.026,2.622,4.497,7.496
0.1,3.585,0.13,0.569,0.533,-0.304,-0.294,0.111,0.184,0.966,2.708,4.413,7.145
0.2,3.535,-0.03,0.595,0.578,-0.078,0.083,-0.723,-0.498,1.029,2.632,4.389,6.803
0.2,3.468,0.006,0.592,0.635,0.001,-0.129,-0.407,-0.576,1.083,2.608,4.659,7.532
0.2,3.463,0.036,0.611,0.538,0.285,0.127,-0.588,-0.676,1.017,2.587,4.234,7.044
0.2,3.407,0.093,0.591,0.558,0.085,-0.431,-0.542,-0.224,1.014,2.657,4.603,7.135
0.2,3.442,-0.082,0.482,0.562,-0.227,0.072,-0.251,-0.601,0.921,2.559,3.959,6.694
0.2,3.454,0.011,0.584,0.544,0.035,0.381,-0.161,-0.192,0.99,2.665,4.224,7.184
0.2,3.53,-0.12,0.562,0.553,-0.121,-0.145,-0.638,-0.584,0.982,2.624,4.044,6.877
0.2,3.471,0.003,0.591,0.569,-0.214,0.006,-0.591,-0.626,1.026,2.621,4.409,7.118
0.2,3.458,-0.034,0.483,0.531,-0.348,-0.146,-0.058,-0.062,0.886,2.352,3.644,6.702
0.2,3.5,-0.032,0.532,0.553,0.2,0.001,-0.052,-0.307,0.946,2.63,4.383,7.078
0.3,3.506,0.05,0.534,0.576,0.19,0.126,-0.15,-0.502,0.976,2.638,4.653,7.376
0.3,3.494,0.053,0.496,0.55,0.134,-0.075,0.485,0.155,0.907,2.675,4.269,6.371
0.3,3.626,0.067,0.515,0.604,-0.286,-0.05,0.043,-0.701,0.99,2.48,4.059,7.136
0.3,3.54,-0.083,0.527,0.492,0.333,0.129,-0.154,-0.116,0.889,2.419,3.64,5.979
0.3,3.468,-0.043,0.57,0.566,0.262,0.13,-0.155,-0.655,0.997,2.579,4.516,6.902
0.3,3.489,-0.017,0.553,0.538,0.071,-0.143,-0.203,-0.146,0.957,2.648,4.457,6.761
0.3,3.457,0.096,0.495,0.49,0.083,-0.084,-0.202,0.16,0.862,2.573,4.107,6.496
0.3,3.447,0.027,0.507,0.617,0.081,0.083,-0.039,-0.592,0.994,2.59,4.172,7.009
0.3,3.515,0.062,0.488,0.513,-0.263,-0.015,0.083,-0.076,0.866,2.533,3.916,6.119
0.3,3.439,0.017,0.627,0.521,-0.19,-0.163,-0.684,0.38,1.009,2.609,4.589,6.652
0.4,3.43,0.062,0.544,0.484,-0.371,0.349,-0.354,-0.225,0.895,2.606,3.844,6.633
0.4,3.569,0.134,0.492,0.546,-0.365,-0.245,0.253,-0.259,0.896,2.642,3.994,6.682
0.4,3.463,-0.028,0.555,0.568,0.026,-0.197,-0.487,-0.669,0.992,2.564,4.109,6.794
0.4,3.413,-0.033,0.52,0.515,0.176,0.081,-0.792,-0.671,0.915,2.376,3.494,6.551
0.4,3.516,-0.046,0.587,0.541,0.22,0.054,-0.576,-0.43,1.0,2.612,4.256,6.668
0.4,3.515,-0.013,0.624,0.556,-0.104,0.193,-0.405,-0.048,1.041,2.66,4.608,6.593
0.4,3.486,0.02,0.59,0.506,0.141,-0.152,-0.329,0.085,0.966,2.624,4.435,6.734
0.4,3.469,0.007,0.56,0.634,-0.019,0.268,-0.157,-0.568,1.055,2.632,4.427,7.016
0.4,3.478,-0.064,0.575,0.549,-0.154,0.065,0.207,-0.136,0.981,2.621,4.727,7.231
0.4,3.46,0.098,0.52,0.541,-0.186,0.163,-0.069,-0.313,0.928,2.557,4.383,6.577
0.5,3.408,0.017,0.56,0.621,0.025,0.103,-0.303,-0.793,1.046,2.517,4.34,6.852
0.5,3.531,0.127,0.538,0.646,-0.132,-0.134,-0.677,-0.751,1.05,2.672,4.516,6.862
0.5,3.427,-0.017,0.586,0.559,-0.057,0.004,-0.706,-0.605,1.017,2.566,4.573,7.015
0.5,3.474,-0.012,0.528,0.586,0.223,-0.251,-0.339,-0.353,0.976,2.595,4.249,6.455
0.5,3.53,-0.111,0.567,0.513,0.016,0.292,-0.713,-0.102,0.948,2.564,4.087,7.336
0.5,3.578,0.001,0.583,0.579,-0.177,0.03,-0.601,-0.573,1.024,2.62,4.436,7.61
0.5,3.547,-0.037,0.593,0.521,-0.306,0.301,-0.084,-0.095,0.972,2.618,4.36,5.96
0.5,3.526,-0.031,0.59,0.519,0.14,0.055,-0.393,0.222,0.971,2.643,4.558,7.132
0.5,3.506,0.059,0.544,0.551,0.206,-0.09,-0.455,-0.259,0.953,2.576,3.956,7.136
0.5,3.524,-0.029,0.51,0.544,-0.341,-0.09,0.029,-0.412,0.923,2.597,3.994,6.681
0.6,3.55,0.035,0.468,0.513,0.11,-0.189,-0.278,-0.127,0.858,2.438,3.675,5.566
0.6,3.439,0.03,0.48,0.555,0.054,0.04,-0.299,0.061,0.901,2.69,4.219,6.624
0.6,3.408,0.007,0.571,0.674,0.083,-0.016,-0.809,-0.972,1.112,2.604,4.337,6.991
0.6,3.432,0.08,0.546,0.507,-0.216,-0.136,-0.535,0.407,0.927,2.587,3.859,6.495
0.6,3.48,0.003,0.608,0.555,0.237,-0.104,-0.623,-0.34,1.024,2.606,4.543,6.677
0.6,3.396,-0.151,0.561,0.549,-0.076,0.043,-0.443,-0.503,0.978,2.64,4.292,7.457
0.6,3.507,-0.024,0.589,0.467,-0.19,-0.034,-0.437,0.309,0.922,2.601,4.263,6.675
0.6,3.38,0.03,0.625,0.586,-0.008,-0.368,-0.554,-0.132,1.072,2.613,4.762,7.878
0.6,3.451,0.051,0.55,0.516,-0.006,-0.007,-0.261,0.197,0.93,2.661,4.653,7.091
0.6,3.465,0.004,0.566,0.597,-0.165,-0.098,-0.31,-0.311,1.016,2.66,4.51,7.202
0.7,3.545,0.108,0.532,0.605,0.287,-0.108,0.114,-0.271,1.004,2.622,4.446,7.453
0.7,3.425,0.105,0.575,0.555,-0.225,0.017,-0.267,-0.252,0.982,2.631,4.699,7.179
0.7,3.596,0.058,0.579,0.626,-0.122,-0.144,-0.258,-0.791,1.065,2.559,4.337,6.474
0.7,3.553,-0.058,0.632,0.531,0.049,-0.206,-0.666,-0.426,1.036,2.516,3.946,6.677
0.7,3.416,0.066,0.541,0.507,-0.14,-0.309,-0.32,0.034,0.921,2.596,4.267,6.382
0.7,3.459,0.047,0.551,0.619,-0.112,0.092,-0.285,-0.114,1.031,2.614,4.47,6.823
0.7,3.42,-0.003,0.488,0.501,-0.371,-0.505,-0.04,0.129,0.861,2.517,3.904,6.363
0.7,3.494,-0.005,0.576,0.538,0.076,-0.01,-0.256,-0.36,0.981,2.569,4.536,7.36
0.7,3.43,-0.059,0.545,0.551,0.073,-0.154,0.177,-0.275,0.948,2.591,4.565,7.169
0.7,3.41,0.044,0.525,0.556,0.175,-0.215,-0.08,-0.006,0.94,2.601,4.35,6.837
0.8,3.385,-0.031,0.55,0.516,0.05,-0.099,-0.085,-0.421,0.936,2.69,4.548,7.012
0.8,3.461,-0.059,0.535,0.559,-0.333,0.237,-0.517,-0.235,0.965,2.58,4.261,7.352
0.8,3.396,0.076,0.494,0.543,0.051,-0.031,-0.147,-0.194,0.907,2.502,3.652,5.729
0.8,3.453,0.002,0.515,0.573,0.262,0.241,-0.117,-0.41,0.954,2.532,4.16,6.64
0.8,3.511,-0.039,0.585,0.495,-0.09,-0.424,-0.426,-0.175,0.952,2.69,4.472,6.49
0.8,3.475,0.012,0.538,0.529,-0.231,-0.223,-0.134,0.227,0.931,2.591,4.109,7.086
0.8,3.392,-0.043,0.555,0.526,-0.073,-0.169,-0.27,-0.164,0.947,2.599,4.209,7.417
0.8,3.485,0.106,0.633,0.562,-0.166,0.107,-0.637,-0.552,1.057,2.631,4.694,7.231
0.8,3.478,0.029,0.505,0.601,-0.108,0.192,-0.041,-0.457,0.973,2.546,4.312,6.511
0.8,3.482,0.023,0.57,0.517,-0.23,-0.007,-0.574,-0.222,0.956,2.522,4.145,6.19
0.9,3.419,-0.03,0.52,0.577,0.148,0.089,-0.384,-0.718,0.961,2.644,4.136,7.267
0.9,3.434,0.016,0.566,0.581,-0.024,0.047,-0.383,-0.592,1.011,2.635,4.635,7.481
0.9,3.338,-0.078,0.536,0.537,-0.126,-0.033,-0.149,-0.197,0.938,2.599,4.547,7.473
0.9,3.385,-0.129,0.513,0.503,-0.157,0.354,0.068,0.162,0.882,2.489,3.864,7.006
