true_angle,mean_x,mean_y,std_x,std_y,skew_x,skew_y,kurt_x,kurt_y,mean_distance,max_distance,hull_area,hull_perimeter
0.0,-3.492,-0.005,0.589,0.57,-0.026,0.204,-0.681,-0.733,1.026,2.64,4.242,6.579
0.0,-3.359,-0.134,0.552,0.595,0.032,0.158,-0.411,-0.429,1.011,2.586,4.45,6.748
0.0,-3.422,-0.038,0.6,0.584,-0.002,0.058,-0.586,-0.507,1.047,2.608,4.346,7.102
0.0,-3.363,-0.0,0.604,0.542,-0.168,-0.449,-0.456,-0.262,1.004,2.578,4.376,6.983
0.0,-3.558,-0.034,0.492,0.588,0.185,-0.058,0.106,-0.594,0.945,2.511,3.876,6.888
0.0,-3.456,-0.026,0.494,0.494,-0.13,-0.172,0.685,0.054,0.85,2.61,4.242,7.063
0.0,-3.456,-0.036,0.591,0.563,-0.098,-0.093,-0.661,-0.313,1.025,2.641,4.487,6.893
0.0,-3.459,0.048,0.52,0.553,-0.065,0.042,-0.272,-0.315,0.925,2.681,4.278,7.492
0.0,-3.492,0.066,0.565,0.566,-0.039,0.197,-0.5,-0.551,0.994,2.575,4.26,7.245
0.0,-3.461,0.068,0.572,0.486,-0.022,-0.149,-0.333,0.275,0.918,2.614,4.415,7.013
0.1,-3.633,0.093,0.611,0.598,0.167,-0.234,-0.516,-0.202,1.068,2.599,4.661,7.619
0.1,-3.501,-0.128,0.514,0.518,-0.152,0.068,-0.103,-0.01,0.898,2.616,4.025,7.015
0.1,-3.494,0.014,0.564,0.597,0.175,0.011,0.06,-0.503,1.019,2.674,4.823,7.398
0.1,-3.421,-0.025,0.501,0.501,0.463,-0.006,-0.005,0.055,0.872,2.435,3.756,5.907
0.1,-3.425,0.039,0.596,0.53,-0.491,0.38,-0.232,0.102,0.987,2.604,4.304,6.976
0.1,-3.548,-0.063,0.598,0.572,0.464,0.285,-0.02,0.203,1.013,2.638,4.793,7.106
0.1,-3.542,-0.022,0.516,0.506,0.103,-0.17,0.255,0.315,0.886,2.635,4.189,6.574
0.1,-3.467,0.028,0.609,0.563,-0.283,-0.095,-0.549,-0.73,1.04,2.638,4.284,7.079
0.1,-3.5,0.014,0.483,0.572,0.28,-0.219,-0.579,-0.474,0.93,2.599,3.835,6.474
0.1,-3.513,-0.023,0.578,0.559,0.068,0.304,-0.417,-0.665,1.004,2.628,4.175,7.486
0.2,-3.497,0.045,0.552,0.552,0.045,-0.129,-0.686,-0.566,0.974,2.534,4.213,6.684
0.2,-3.503,-0.004,0.557,0.557,0.031,-0.112,-0.491,-0.481,0.982,2.579,4.319,7.187
0.2,-3.538,0.017,0.545,0.564,0.256,0.072,-0.18,-0.585,0.975,2.668,4.325,7.451
0.2,-3.364,0.005,0.597,0.563,0.016,0.127,-0.453,-0.429,1.026,2.578,4.508,6.933
0.2,-3.447,0.037,0.55,0.519,-0.002,-0.114,-0.076,-0.304,0.932,2.666,4.47,6.259
0.2,-3.347,0.096,0.534,0.604,0.015,-0.065,-0.595,-0.59,1.008,2.618,3.83,6.447
0.2,-3.429,0.132,0.519,0.587,0.191,-0.068,-0.205,-0.683,0.98,2.631,4.525,6.779
0.2,-3.608,-0.011,0.537,0.569,-0.282,0.066,-0.537,-0.276,0.972,2.563,3.905,7.041
0.2,-3.532,-0.045,0.602,0.542,-0.007,0.011,-0.277,-0.207,1.009,2.575,4.296,7.236
0.2,-3.542,-0.004,0.643,0.538,-0.085,0.061,-0.684,-0.264,1.039,2.692,4.682,7.535
0.3,-3.585,-0.077,0.543,0.606,0.13,-0.151,-0.209,-0.736,1.015,2.62,4.694,7.503
0.3,-3.628,-0.048,0.527,0.555,-0.053,0.323,-0.208,-0.042,0.939,2.626,4.304,6.987
0.3,-3.536,-0.052,0.593,0.562,-0.133,0.07,-0.435,-0.398,1.019,2.696,4.294,7.416
0.3,-3.464,-0.008,0.462,0.625,0.139,-0.229,-0.203,-0.821,0.961,2.557,3.949,6.886
0.3,-3.468,-0.073,0.554,0.612,-0.12,0.128,0.044,-0.633,1.031,2.663,4.303,6.534
0.3,-3.454,-0.049,0.589,0.615,0.147,0.139,-0.722,-0.439,1.067,2.624,4.324,7.054
0.3,-3.526,0.002,0.599,0.471,0.12,0.056,-0.484,-0.128,0.944,2.521,4.21,6.738
0.3,-3.364,-0.004,0.564,0.563,-0.075,-0.024,-0.371,-0.071,0.989,2.645,4.645,6.964
0.3,-3.547,0.023,0.611,0.589,0.215,0.115,-0.573,-0.516,1.063,2.691,4.655,6.713
0.3,-3.436,-0.002,0.479,0.477,-0.088,-0.167,0.235,0.226,0.833,2.578,3.975,6.028
0.4,-3.548,0.039,0.574,0.53,-0.101,-0.218,-0.843,-0.536,0.976,2.473,3.886,6.429
0.4,-3.553,0.064,0.54,0.496,0.131,-0.025,0.041,-0.167,0.896,2.463,4.007,5.948
0.4,-3.432,0.075,0.52,0.538,0.36,0.005,0.302,-0.02,0.921,2.563,4.029,6.531
0.4,-3.499,-0.089,0.512,0.577,-0.074,0.171,-0.087,-0.635,0.954,2.686,4.449,6.199
0.4,-3.449,-0.035,0.486,0.586,-0.025,0.047,-0.289,-0.349,0.943,2.61,4.18,6.646
0.4,-3.424,0.028,0.572,0.482,-0.023,-0.613,-0.748,0.647,0.907,2.557,4.143,7.083
0.4,-3.474,0.074,0.596,0.563,0.004,-0.088,-0.453,-0.684,1.02,2.592,4.633,7.738
0.4,-3.428,0.041,0.528,0.522,0.001,-0.287,-0.304,-0.607,0.924,2.636,4.035,7.07
0.4,-3.434,-0.002,0.595,0.579,-0.021,0.164,-0.556,-0.686,1.035,2.663,4.684,7.617
0.4,-3.438,0.015,0.419,0.577,-0.181,0.072,-0.536,-0.342,0.871,2.642,3.607,6.366
0.5,-3.539,-0.06,0.556,0.557,0.028,-0.26,-0.058,-0.266,0.97,2.615,4.519,6.948
0.5,-3.414,0.0,0.471,0.57,-0.034,0.253,-0.082,-0.329,0.909,2.617,4.109,6.732
0.5,-3.449,-0.055,0.572,0.542,-0.216,-0.053,-0.667,-0.31,0.981,2.542,4.124,7.272
0.5,-3.458,-0.03,0.545,0.53,0.089,-0.226,-0.091,-0.132,0.935,2.508,3.985,6.391
0.5,-3.532,0.152,0.61,0.507,0.076,0.083,-0.646,-0.257,0.984,2.629,4.019,6.619
0.5,-3.589,0.053,0.537,0.601,-0.129,-0.092,-0.67,-0.799,1.006,2.708,3.818,6.818
0.5,-3.417,-0.064,0.517,0.55,-0.301,0.158,-0.381,-0.083,0.936,2.577,3.945,6.624
0.5,-3.403,-0.039,0.566,0.529,-0.143,0.033,0.146,-0.063,0.953,2.655,4.686,7.653
0.5,-3.336,0.026,0.483,0.566,-0.086,0.075,0.485,-0.457,0.92,2.58,4.555,7.054
0.5,-3.538,0.039,0.575,0.609,0.18,0.059,-0.48,-0.58,1.048,2.597,4.607,7.297
0.6,-3.432,0.077,0.512,0.517,-0.382,0.148,-0.272,-0.343,0.906,2.307,3.681,6.216
0.6,-3.524,0.013,0.606,0.565,0.073,0.12,-0.506,-0.344,1.035,2.608,4.668,7.086
0.6,-3.476,-0.008,0.515,0.619,0.265,-0.132,-0.05,-0.524,0.997,2.642,4.394,7.189
0.6,-3.465,-0.055,0.492,0.561,-0.024,0.136,-0.092,-0.538,0.927,2.589,3.968,6.624
0.6,-3.403,-0.102,0.6,0.632,-0.036,0.174,-0.661,-0.834,1.096,2.564,4.572,7.55
0.6,-3.402,0.048,0.501,0.492,-0.18,0.266,-0.118,0.014,0.866,2.547,4.278,6.672
0.6,-3.449,0.176,0.586,0.621,-0.007,0.006,-0.484,-0.905,1.057,2.709,4.183,6.176
0.6,-3.468,0.048,0.536,0.528,-0.173,-0.085,-0.345,-0.079,0.933,2.516,4.147,7.113
0.6,-3.496,0.085,0.596,0.511,0.008,0.016,-0.708,-0.547,0.98,2.614,4.454,7.608
0.6,-3.402,-0.003,0.577,0.55,0.136,0.037,-0.502,-0.242,0.993,2.515,4.208,6.682
0.7,-3.423,0.058,0.586,0.557,-0.056,-0.212,-0.528,-0.186,1.012,2.604,4.195,7.075
0.7,-3.426,0.029,0.524,0.484,0.341,0.097,0.326,0.165,0.865,2.579,4.108,6.958
0.7,-3.421,0.105,0.602,0.49,0.184,0.021,-0.395,-0.866,0.963,2.577,3.861,5.914
0.7,-3.479,0.072,0.565,0.545,0.074,-0.079,-0.34,-0.371,0.973,2.652,4.639,7.184
0.7,-3.463,0.036,0.557,0.575,0.154,-0.42,-0.381,-0.001,0.99,2.662,4.163,6.448
0.7,-3.353,0.093,0.573,0.611,-0.138,-0.197,-0.485,-0.404,1.045,2.633,4.659,7.326
0.7,-3.436,0.009,0.602,0.576,-0.062,0.09,-0.38,-0.418,1.036,2.686,4.876,6.684
0.7,-3.419,-0.009,0.554,0.5,0.123,0.177,-0.39,0.082,0.92,2.595,4.247,6.611
0.7,-3.431,-0.102,0.518,0.645,0.023,0.109,-0.564,-0.594,1.033,2.667,4.124,7.035
