true_angle,semi_major_axis,semi_minor_axis,eccentricity,mean_x,mean_y,std_x,std_y
0,1.276,1.259,0.166,-3.5,0.003,0.551,0.554
0,1.297,1.172,0.428,-3.5,0.003,0.551,0.554
0,1.327,1.071,0.591,-3.5,0.003,0.551,0.554
0,1.291,1.177,0.411,-3.5,0.003,0.551,0.554
0,1.283,1.206,0.34,-3.5,0.003,0.551,0.554
0,1.336,1.201,0.437,-3.5,0.003,0.551,0.554
0,1.27,1.224,0.266,-3.5,0.003,0.551,0.554
0,1.26,1.207,0.286,-3.5,0.003,0.551,0.554
0,1.274,1.042,0.576,-3.5,0.003,0.551,0.554
0,1.26,1.13,0.443,-3.5,0.003,0.551,0.554
0,1.283,1.242,0.25,-3.5,0.003,0.551,0.554
0,1.369,1.262,0.389,-3.5,0.003,0.551,0.554
0,1.275,1.131,0.462,-3.5,0.003,0.551,0.554
0,1.302,1.267,0.232,-3.5,0.003,0.551,0.554
0,1.343,1.212,0.43,-3.5,0.003,0.551,0.554
0,1.34,1.261,0.339,-3.5,0.003,0.551,0.554
0,1.28,1.215,0.314,-3.5,0.003,0.551,0.554
0,1.321,1.186,0.44,-3.5,0.003,0.551,0.554
0,1.253,1.157,0.384,-3.5,0.003,0.551,0.554
0,1.336,1.207,0.429,-3.5,0.003,0.551,0.554
0,1.33,1.278,0.277,-3.5,0.003,0.551,0.554
0,1.402,1.008,0.695,-3.5,0.003,0.551,0.554
0,1.305,1.252,0.283,-3.5,0.003,0.551,0.554
0,1.286,1.187,0.385,-3.5,0.003,0.551,0.554
0,1.208,1.107,0.4,-3.5,0.003,0.551,0.554
0,1.336,0.974,0.684,-3.5,0.003,0.551,0.554
0,1.274,1.213,0.304,-3.5,0.003,0.551,0.554
0,1.253,1.068,0.524,-3.5,0.003,0.551,0.554
0,1.312,1.239,0.33,-3.5,0.003,0.551,0.554
0,1.327,1.21,0.411,-3.5,0.003,0.551,0.554
0,1.304,1.172,0.439,-3.5,0.003,0.551,0.554
0,1.362,1.249,0.399,-3.5,0.003,0.551,0.554
0,1.219,1.177,0.263,-3.5,0.003,0.551,0.554
0,1.26,1.198,0.31,-3.5,0.003,0.551,0.554
0,1.303,1.176,0.431,-3.5,0.003,0.551,0.554
0,1.298,1.244,0.286,-3.5,0.003,0.551,0.554
0,1.329,1.188,0.449,-3.5,0.003,0.551,0.554
0,1.334,1.22,0.404,-3.5,0.003,0.551,0.554
0,1.283,1.148,0.447,-3.5,0.003,0.551,0.554
0,1.282,1.21,0.331,-3.5,0.003,0.551,0.554
0,1.284,1.129,0.476,-3.5,0.003,0.551,0.554
0,1.291,1.176,0.412,-3.5,0.003,0.551,0.554
0,1.277,1.219,0.297,-3.5,0.003,0.551,0.554
0,1.229,1.125,0.402,-3.5,0.003,0.551,0.554
0,1.378,1.146,0.555,-3.5,0.003,0.551,0.554
0,1.3,1.18,0.421,-3.5,0.003,0.551,0.554
0,1.327,1.144,0.507,-3.5,0.003,0.551,0.554
0,1.393,1.0,0.696,-3.5,0.003,0.551,0.554
0,1.32,1.191,0.431,-3.5,0.003,0.551,0.554
0,1.256,1.227,0.212,-3.5,0.003,0.551,0.554
0,1.213,1.203,0.131,-3.5,0.003,0.551,0.554
0,1.349,1.23,0.41,-3.5,0.003,0.551,0.554
0,1.251,1.138,0.416,-3.5,0.003,0.551,0.554
0,1.256,1.042,0.559,-3.5,0.003,0.551,0.554
0,1.322,1.224,0.379,-3.5,0.003,0.551,0.554
0,1.31,1.205,0.392,-3.5,0.003,0.551,0.554
0,1.363,1.182,0.498,-3.5,0.003,0.551,0.554
0,1.305,1.157,0.463,-3.5,0.003,0.551,0.554
0,1.325,1.252,0.328,-3.5,0.003,0.551,0.554
0,1.359,1.133,0.552,-3.5,0.003,0.551,0.554
0,1.305,1.088,0.552,-3.5,0.003,0.551,0.554
0,1.293,1.198,0.376,-3.5,0.003,0.551,0.554
0,1.295,1.13,0.489,-3.5,0.003,0.551,0.554
0,1.303,1.177,0.428,-3.5,0.003,0.551,0.554
0,1.343,1.122,0.549,-3.5,0.003,0.551,0.554
0,1.324,1.171,0.467,-3.5,0.003,0.551,0.554
