true_angle,semi_major_axis,semi_minor_axis,eccentricity,mean_x,mean_y,std_x,std_y
0.0,1.256,1.186,0.331,3.498,-0.016,0.528,0.56
0.0,1.288,1.274,0.144,3.498,-0.016,0.528,0.56
0.0,1.28,1.215,0.316,3.498,-0.016,0.528,0.56
0.0,1.273,1.138,0.447,3.498,-0.016,0.528,0.56
0.0,1.347,1.254,0.366,3.498,-0.016,0.528,0.56
0.0,1.297,1.246,0.278,3.498,-0.016,0.528,0.56
0.0,1.292,1.092,0.534,3.498,-0.016,0.528,0.56
0.0,1.326,1.242,0.35,3.498,-0.016,0.528,0.56
0.0,1.293,1.228,0.314,3.498,-0.016,0.528,0.56
0.0,1.189,1.111,0.357,3.498,-0.016,0.528,0.56
0.1,1.387,1.095,0.614,3.485,0.021,0.548,0.541
0.1,1.351,1.13,0.548,3.485,0.021,0.548,0.541
0.1,1.244,1.088,0.485,3.485,0.021,0.548,0.541
0.1,1.299,1.214,0.356,3.485,0.021,0.548,0.541
0.1,1.379,1.23,0.453,3.485,0.021,0.548,0.541
0.1,1.381,1.113,0.591,3.485,0.021,0.548,0.541
0.1,1.322,1.153,0.488,3.485,0.021,0.548,0.541
0.1,1.317,1.168,0.463,3.485,0.021,0.548,0.541
0.1,1.322,1.22,0.386,3.485,0.021,0.548,0.541
0.1,1.318,1.218,0.383,3.485,0.021,0.548,0.541
0.2,1.31,1.224,0.357,3.472,-0.015,0.561,0.562
0.2,1.325,1.269,0.289,3.472,-0.015,0.561,0.562
0.2,1.288,1.153,0.446,3.472,-0.015,0.561,0.562
0.2,1.315,1.253,0.302,3.472,-0.015,0.561,0.562
0.2,1.239,1.208,0.221,3.472,-0.015,0.561,0.562
0.2,1.403,1.156,0.566,3.472,-0.015,0.561,0.562
0.2,1.314,1.132,0.508,3.472,-0.015,0.561,0.562
0.2,1.317,1.224,0.37,3.472,-0.015,0.561,0.562
0.2,1.189,1.084,0.412,3.472,-0.015,0.561,0.562
0.2,1.297,1.202,0.375,3.472,-0.015,0.561,0.562
0.3,1.336,1.253,0.346,3.497,0.026,0.532,0.546
0.3,1.453,1.147,0.614,3.497,0.026,0.532,0.546
0.3,1.254,1.15,0.398,3.497,0.026,0.532,0.546
0.3,1.201,1.069,0.457,3.497,0.026,0.532,0.546
0.3,1.296,1.195,0.387,3.497,0.026,0.532,0.546
0.3,1.349,1.185,0.478,3.497,0.026,0.532,0.546
0.3,1.309,1.142,0.489,3.497,0.026,0.532,0.546
0.3,1.324,1.149,0.498,3.497,0.026,0.532,0.546
0.3,1.304,1.177,0.43,3.497,0.026,0.532,0.546
0.3,1.322,1.249,0.328,3.497,0.026,0.532,0.546
0.4,1.303,1.186,0.414,3.479,0.01,0.557,0.545
0.4,1.337,1.154,0.506,3.479,0.01,0.557,0.545
0.4,1.32,1.088,0.566,3.479,0.01,0.557,0.545
0.4,1.193,1.082,0.421,3.479,0.01,0.557,0.545
0.4,1.313,1.195,0.414,3.479,0.01,0.557,0.545
0.4,1.365,1.212,0.461,3.479,0.01,0.557,0.545
0.4,1.306,1.199,0.397,3.479,0.01,0.557,0.545
0.4,1.321,1.223,0.379,3.479,0.01,0.557,0.545
0.4,1.33,1.188,0.45,3.479,0.01,0.557,0.545
0.4,1.278,1.196,0.351,3.479,0.01,0.557,0.545
0.5,1.264,1.173,0.374,3.501,-0.003,0.561,0.566
0.5,1.385,1.18,0.523,3.501,-0.003,0.561,0.566
0.5,1.309,1.2,0.399,3.501,-0.003,0.561,0.566
0.5,1.339,1.167,0.491,3.501,-0.003,0.561,0.566
0.5,1.296,1.164,0.44,3.501,-0.003,0.561,0.566
0.5,1.342,1.234,0.393,3.501,-0.003,0.561,0.566
0.5,1.317,1.23,0.358,3.501,-0.003,0.561,0.566
0.5,1.298,1.238,0.299,3.501,-0.003,0.561,0.566
0.5,1.295,1.139,0.475,3.501,-0.003,0.561,0.566
0.5,1.289,1.096,0.526,3.501,-0.003,0.561,0.566
0.6,1.215,1.178,0.244,3.451,0.005,0.556,0.552
0.6,1.385,1.107,0.601,3.451,0.005,0.556,0.552
0.6,1.287,1.183,0.394,3.451,0.005,0.556,0.552
0.6,1.319,1.029,0.625,3.451,0.005,0.556,0.552
0.6,1.281,1.196,0.359,3.451,0.005,0.556,0.552
0.6,1.358,1.137,0.546,3.451,0.005,0.556,0.552
0.6,1.33,1.168,0.479,3.451,0.005,0.556,0.552
0.6,1.316,1.273,0.252,3.451,0.005,0.556,0.552
0.6,1.368,1.192,0.49,3.451,0.005,0.556,0.552
0.6,1.356,1.195,0.472,3.451,0.005,0.556,0.552
0.7,1.393,1.219,0.484,3.474,0.029,0.557,0.557
0.7,1.322,1.26,0.302,3.474,0.029,0.557,0.557
0.7,1.324,1.194,0.433,3.474,0.029,0.557,0.557
0.7,1.231,1.121,0.412,3.474,0.029,0.557,0.557
0.7,1.274,1.226,0.273,3.474,0.029,0.557,0.557
0.7,1.29,1.272,0.162,3.474,0.029,0.557,0.557
0.7,1.302,1.107,0.526,3.474,0.029,0.557,0.557
0.7,1.333,1.192,0.448,3.474,0.029,0.557,0.557
0.7,1.315,1.24,0.332,3.474,0.029,0.557,0.557
0.7,1.342,1.215,0.424,3.474,0.029,0.557,0.557
0.8,1.372,1.185,0.504,3.453,0.007,0.549,0.542
0.8,1.3,1.152,0.464,3.453,0.007,0.549,0.542
0.8,1.286,1.011,0.618,3.453,0.007,0.549,0.542
0.8,1.271,1.136,0.448,3.453,0.007,0.549,0.542
0.8,1.348,1.211,0.439,3.453,0.007,0.549,0.542
0.8,1.291,1.172,0.419,3.453,0.007,0.549,0.542
0.8,1.287,1.19,0.38,3.453,0.007,0.549,0.542
0.8,1.275,1.273,0.052,3.453,0.007,0.549,0.542
0.8,1.278,1.164,0.413,3.453,0.007,0.549,0.542
0.8,1.289,1.158,0.439,3.453,0.007,0.549,0.542
0.9,1.278,1.215,0.31,3.414,-0.013,0.548,0.545
0.9,1.286,1.253,0.224,3.414,-0.013,0.548,0.545
0.9,1.294,1.217,0.338,3.414,-0.013,0.548,0.545
0.9,1.262,1.13,0.446,3.414,-0.013,0.548,0.545
0.9,1.261,1.166,0.381,3.414,-0.013,0.548,0.545
0.9,1.341,1.253,0.356,3.414,-0.013,0.548,0.545
0.9,1.297,1.266,0.217,3.414,-0.013,0.548,0.545
0.9,1.293,1.249,0.259,3.414,-0.013,0.548,0.545
0.9,1.308,1.151,0.475,3.414,-0.013,0.548,0.545
0.9,1.308,1.236,0.327,3.414,-0.013,0.548,0.545
1.0,1.283,1.262,0.183,3.437,-0.001,0.562,0.533
1.0,1.321,1.238,0.349,3.437,-0.001,0.562,0.533
1.0,1.354,1.153,0.524,3.437,-0.001,0.562,0.533
1.0,1.359,1.057,0.629,3.437,-0.001,0.562,0.533
1.0,1.246,0.963,0.634,3.437,-0.001,0.562,0.533
1.0,1.297,1.205,0.369,3.437,-0.001,0.562,0.533
1.0,1.268,1.187,0.353,3.437,-0.001,0.562,0.533
1.0,1.343,1.172,0.488,3.437,-0.001,0.562,0.533
1.0,1.297,1.103,0.527,3.437,-0.001,0.562,0.533
1.0,1.289,1.144,0.461,3.437,-0.001,0.562,0.533
1.1,1.287,1.128,0.482,3.42,-0.004,0.559,0.542
1.1,1.363,1.215,0.454,3.42,-0.004,0.559,0.542
1.1,1.271,1.205,0.318,3.42,-0.004,0.559,0.542
1.1,1.282,1.145,0.449,3.42,-0.004,0.559,0.542
1.1,1.276,1.271,0.09,3.42,-0.004,0.559,0.542
1.1,1.286,1.255,0.219,3.42,-0.004,0.559,0.542
1.1,1.288,1.132,0.477,3.42,-0.004,0.559,0.542
1.1,1.293,1.083,0.546,3.42,-0.004,0.559,0.542
1.1,1.308,1.124,0.512,3.42,-0.004,0.559,0.542
1.1,1.227,1.176,0.286,3.42,-0.004,0.559,0.542
1.2,1.33,1.246,0.35,3.413,0.028,0.53,0.579
1.2,1.309,1.19,0.417,3.413,0.028,0.53,0.579
1.2,1.293,1.191,0.388,3.413,0.028,0.53,0.579
1.2,1.306,1.241,0.312,3.413,0.028,0.53,0.579
1.2,1.297,1.228,0.322,3.413,0.028,0.53,0.579
1.2,1.28,1.189,0.371,3.413,0.028,0.53,0.579
1.2,1.301,1.162,0.45,3.413,0.028,0.53,0.579
1.2,1.261,1.204,0.297,3.413,0.028,0.53,0.579
1.2,1.309,1.24,0.321,3.413,0.028,0.53,0.579
1.2,1.482,0.892,0.798,3.413,0.028,0.53,0.579
1.3,1.321,1.132,0.515,3.429,-0.0,0.552,0.578
1.3,1.241,1.134,0.406,3.429,-0.0,0.552,0.578
1.3,1.332,1.207,0.422,3.429,-0.0,0.552,0.578
1.3,1.335,1.257,0.338,3.429,-0.0,0.552,0.578
1.3,1.269,1.202,0.32,3.429,-0.0,0.552,0.578
1.3,1.296,1.279,0.161,3.429,-0.0,0.552,0.578
1.3,1.334,1.135,0.525,3.429,-0.0,0.552,0.578
1.3,1.298,1.06,0.578,3.429,-0.0,0.552,0.578
1.3,1.249,1.215,0.23,3.429,-0.0,0.552,0.578
1.3,1.296,1.145,0.468,3.429,-0.0,0.552,0.578
1.4,1.337,1.142,0.521,3.351,0.004,0.547,0.544
1.4,1.284,1.192,0.373,3.351,0.004,0.547,0.544
1.4,1.287,1.204,0.353,3.351,0.004,0.547,0.544
1.4,1.313,1.211,0.386,3.351,0.004,0.547,0.544
1.4,1.329,1.168,0.477,3.351,0.004,0.547,0.544
1.4,1.293,1.124,0.494,3.351,0.004,0.547,0.544
1.4,1.247,1.164,0.358,3.351,0.004,0.547,0.544
1.4,1.281,1.271,0.12,3.351,0.004,0.547,0.544
1.4,1.267,1.199,0.324,3.351,0.004,0.547,0.544
1.4,1.26,1.216,0.26,3.351,0.004,0.547,0.544
1.5,1.338,1.197,0.446,3.382,-0.003,0.552,0.546
1.5,1.3,1.157,0.456,3.382,-0.003,0.552,0.546
1.5,1.333,1.176,0.471,3.382,-0.003,0.552,0.546
1.5,1.329,1.179,0.462,3.382,-0.003,0.552,0.546
1.5,1.348,1.14,0.534,3.382,-0.003,0.552,0.546
1.5,1.237,1.152,0.364,3.382,-0.003,0.552,0.546
1.5,1.341,1.067,0.606,3.382,-0.003,0.552,0.546
1.5,1.29,1.205,0.358,3.382,-0.003,0.552,0.546
1.5,1.298,1.129,0.493,3.382,-0.003,0.552,0.546
1.5,1.321,1.25,0.323,3.382,-0.003,0.552,0.546
1.6,1.318,1.214,0.39,3.423,-0.047,0.575,0.545
1.6,1.27,1.104,0.495,3.423,-0.047,0.575,0.545
1.6,1.29,1.268,0.182,3.423,-0.047,0.575,0.545
1.6,1.298,1.217,0.348,3.423,-0.047,0.575,0.545
1.6,1.368,1.197,0.485,3.423,-0.047,0.575,0.545
1.6,1.373,1.029,0.662,3.423,-0.047,0.575,0.545
1.6,1.296,1.213,0.354,3.423,-0.047,0.575,0.545
1.6,1.216,1.203,0.147,3.423,-0.047,0.575,0.545
1.6,1.261,1.183,0.347,3.423,-0.047,0.575,0.545
1.6,1.368,1.116,0.578,3.423,-0.047,0.575,0.545
1.7,1.319,1.23,0.362,3.389,0.01,0.572,0.561
1.7,1.372,1.092,0.605,3.389,0.01,0.572,0.561
1.7,1.323,1.289,0.224,3.389,0.01,0.572,0.561
1.7,1.312,1.256,0.288,3.389,0.01,0.572,0.561
1.7,1.298,1.286,0.135,3.389,0.01,0.572,0.561
1.7,1.372,1.237,0.432,3.389,0.01,0.572,0.561
1.7,1.379,1.179,0.518,3.389,0.01,0.572,0.561
1.7,1.351,1.122,0.557,3.389,0.01,0.572,0.561
1.7,1.388,1.158,0.552,3.389,0.01,0.572,0.561
1.7,1.319,1.274,0.26,3.389,0.01,0.572,0.561
1.8,1.255,1.053,0.544,3.388,-0.0,0.525,0.576
1.8,1.36,1.222,0.44,3.388,-0.0,0.525,0.576
1.8,1.351,1.221,0.427,3.388,-0.0,0.525,0.576
1.8,1.289,1.16,0.436,3.388,-0.0,0.525,0.576
1.8,1.338,1.266,0.322,3.388,-0.0,0.525,0.576
1.8,1.38,1.073,0.629,3.388,-0.0,0.525,0.576
1.8,1.304,1.176,0.433,3.388,-0.0,0.525,0.576
1.8,1.292,1.242,0.276,3.388,-0.0,0.525,0.576
1.8,1.305,1.075,0.566,3.388,-0.0,0.525,0.576
1.8,1.337,1.256,0.342,3.388,-0.0,0.525,0.576
1.9,1.29,1.239,0.28,3.37,-0.033,0.567,0.567
1.9,1.486,1.134,0.646,3.37,-0.033,0.567,0.567
1.9,1.288,1.135,0.473,3.37,-0.033,0.567,0.567
1.9,1.334,1.283,0.275,3.37,-0.033,0.567,0.567
1.9,1.303,1.135,0.491,3.37,-0.033,0.567,0.567
1.9,1.333,1.034,0.631,3.37,-0.033,0.567,0.567
1.9,1.254,1.209,0.265,3.37,-0.033,0.567,0.567
1.9,1.329,1.253,0.331,3.37,-0.033,0.567,0.567
1.9,1.276,1.218,0.297,3.37,-0.033,0.567,0.567
1.9,1.361,1.159,0.525,3.37,-0.033,0.567,0.567
2.0,1.302,1.171,0.436,3.403,0.012,0.565,0.53
2.0,1.247,1.178,0.326,3.403,0.012,0.565,0.53
2.0,1.316,1.231,0.353,3.403,0.012,0.565,0.53
2.0,1.316,1.258,0.292,3.403,0.012,0.565,0.53
2.0,1.339,1.205,0.436,3.403,0.012,0.565,0.53
2.0,1.301,1.19,0.404,3.403,0.012,0.565,0.53
2.0,1.353,1.152,0.525,3.403,0.012,0.565,0.53
2.0,1.269,1.158,0.409,3.403,0.012,0.565,0.53
2.0,1.256,1.059,0.539,3.403,0.012,0.565,0.53
2.0,1.235,1.117,0.427,3.403,0.012,0.565,0.53
