true_angle,semi_major_axis,semi_minor_axis,eccentricity,convex_hull_area,convex_hull_perimeter,eccentricity_ratio,aspect_ratio,theta
0.0,1.355,1.136,0.546,4.324,7.617,1.194,0.81,0.339
0.0,1.288,1.28,0.112,4.82,7.942,0.994,1.006,-0.65
0.0,1.356,1.181,0.492,4.298,7.722,1.148,0.838,-0.517
0.0,1.329,1.198,0.433,4.12,7.581,0.901,1.043,0.456
0.0,1.237,1.126,0.414,3.971,7.263,0.91,0.984,-2.487
0.0,1.283,1.176,0.399,4.266,7.565,0.917,1.028,0.298
0.0,1.3,1.189,0.404,4.113,7.556,0.915,1.17,-0.369
0.0,1.37,1.098,0.598,4.294,7.63,1.247,0.913,0.43
0.0,1.275,1.22,0.29,4.366,7.636,1.045,0.937,-0.068
0.0,1.291,1.205,0.358,4.422,7.68,0.934,1.057,-0.272
0.0,1.329,1.182,0.456,4.141,7.552,1.124,0.906,0.389
0.0,1.323,1.123,0.529,4.139,7.524,1.179,1.042,-2.345
0.0,1.302,1.251,0.279,4.564,7.899,0.96,0.993,-2.462
0.0,1.319,1.174,0.455,4.267,7.659,0.891,1.136,-0.545
0.0,1.276,1.191,0.358,4.274,7.579,1.071,0.922,-0.414
0.0,1.273,1.172,0.39,4.324,7.573,0.921,1.003,-3.811
0.0,1.304,1.237,0.316,4.512,7.777,0.949,1.045,0.62
0.0,1.265,1.168,0.383,4.095,7.488,0.924,1.065,-0.659
0.0,1.335,1.28,0.284,4.597,7.93,0.959,1.055,-0.454
0.0,1.328,1.19,0.443,4.338,7.705,0.897,0.982,5.411
0.0,1.312,1.269,0.254,4.57,7.87,0.967,1.078,-0.342
0.0,1.287,1.243,0.262,4.5,7.74,0.965,1.013,-0.286
0.0,1.286,1.24,0.266,4.568,7.819,0.964,1.002,3.787
0.0,1.305,1.236,0.321,4.548,7.811,0.947,1.063,-0.177
0.0,1.389,1.132,0.579,4.382,7.703,1.227,0.991,3.816
0.0,1.347,1.301,0.259,5.078,8.163,0.966,1.026,-0.793
0.0,1.282,1.226,0.293,4.207,7.596,0.956,1.016,-3.765
0.0,1.367,1.215,0.457,4.278,7.707,0.889,1.074,-0.476
0.0,1.325,1.262,0.305,4.934,8.068,0.952,1.019,2.439
0.0,1.296,1.103,0.525,3.915,7.325,0.851,0.961,-2.044
0.0,1.346,1.209,0.439,4.376,7.779,0.899,1.013,-3.963
0.0,1.379,1.202,0.491,4.476,7.836,0.871,1.186,-0.532
0.0,1.298,1.12,0.505,3.95,7.33,0.863,1.107,0.455
0.0,1.255,1.074,0.517,3.699,7.116,1.169,0.885,-0.042
0.0,1.332,1.204,0.428,4.568,7.812,0.904,1.028,-0.487
0.0,1.327,1.293,0.225,4.779,7.998,1.026,0.982,0.006
0.0,1.224,1.164,0.31,4.012,7.35,0.951,1.022,-0.136
0.0,1.279,1.16,0.421,4.091,7.45,1.102,0.963,-0.3
0.0,1.299,1.213,0.357,4.616,7.771,0.934,1.02,-0.466
0.0,1.339,1.156,0.505,4.14,7.64,1.158,0.989,3.982
0.0,1.355,1.174,0.498,4.373,7.738,1.154,0.884,0.379
0.0,1.27,1.208,0.31,4.341,7.662,0.951,1.029,-0.133
0.0,1.305,1.226,0.343,4.36,7.769,1.064,1.025,2.203
0.0,1.298,1.236,0.306,4.534,7.799,0.952,1.03,0.175
0.0,1.317,1.126,0.52,4.267,7.573,1.17,0.931,0.515
0.0,1.265,1.191,0.337,4.223,7.559,1.062,0.908,-0.136
0.0,1.307,1.174,0.439,3.892,7.412,0.899,1.009,3.745
0.0,1.323,1.2,0.42,4.646,7.82,0.907,1.057,0.387
0.0,1.265,1.094,0.502,4.013,7.305,1.156,0.874,-0.239
0.0,1.299,1.146,0.47,4.249,7.576,0.883,1.077,0.17
0.1,1.244,1.199,0.265,4.219,7.573,1.037,0.999,-3.413
0.1,1.337,1.299,0.236,4.529,7.913,0.972,0.995,-5.454
0.1,1.263,1.131,0.445,4.132,7.422,1.116,0.99,-3.831
0.1,1.339,1.199,0.445,4.2,7.597,0.895,0.944,0.244
0.1,1.358,1.249,0.392,4.72,7.947,0.92,1.012,-3.844
0.1,1.253,1.152,0.393,3.749,7.303,1.088,0.791,0.088
0.1,1.32,1.27,0.273,4.657,7.935,1.039,0.977,-0.715
0.1,1.242,1.185,0.299,4.149,7.496,1.048,0.998,4.161
0.1,1.291,1.239,0.281,4.519,7.768,1.042,0.973,0.497
0.1,1.175,1.17,0.095,3.681,7.084,0.995,0.96,-0.443
0.1,1.266,1.211,0.292,4.489,7.665,0.956,0.988,-2.115
0.1,1.379,1.153,0.549,4.378,7.69,1.197,0.935,0.085
0.1,1.298,1.23,0.318,4.508,7.768,1.055,0.912,0.308
0.1,1.294,1.133,0.483,3.99,7.421,1.142,0.959,0.685
0.1,1.345,1.163,0.502,4.501,7.753,1.156,0.873,0.164
0.1,1.327,1.212,0.407,4.616,7.844,1.095,0.995,3.914
0.1,1.291,1.212,0.346,4.468,7.732,0.938,1.074,-0.139
0.1,1.31,1.261,0.273,4.615,7.849,1.039,1.074,-0.06
0.1,1.305,1.196,0.4,4.147,7.627,1.091,0.958,-0.211
0.1,1.244,1.074,0.505,3.824,7.187,1.158,0.849,-0.018
0.1,1.333,1.157,0.496,4.536,7.737,0.868,1.128,-0.185
0.1,1.267,1.15,0.419,4.12,7.485,1.102,0.99,3.978
0.1,1.295,1.263,0.22,4.744,7.894,0.975,1.065,-0.094
0.1,1.333,1.124,0.538,4.27,7.561,1.187,0.972,-0.503
0.1,1.35,1.158,0.515,4.406,7.704,1.166,0.969,-0.417
0.1,1.306,1.166,0.451,4.241,7.541,0.893,1.098,-0.393
0.1,1.177,1.111,0.33,3.623,7.077,0.944,1.086,0.395
0.1,1.194,1.167,0.211,3.994,7.346,0.977,0.975,0.113
0.1,1.343,1.174,0.486,4.217,7.662,1.144,0.819,0.343
0.1,1.324,1.238,0.355,4.256,7.688,1.07,0.998,-4.531
0.1,1.344,1.229,0.405,4.614,7.871,0.914,1.108,-0.1
0.1,1.293,1.133,0.482,3.564,7.191,1.141,0.89,-0.249
0.1,1.368,1.163,0.526,4.485,7.738,1.176,0.909,-0.176
0.1,1.338,1.294,0.254,5.153,8.17,1.034,0.942,-0.37
0.1,1.295,1.232,0.308,4.369,7.715,0.951,1.107,-0.247
0.1,1.303,1.237,0.315,4.521,7.779,1.054,0.98,-1.007
0.1,1.31,1.006,0.64,3.398,7.049,1.302,0.754,-0.335
0.1,1.323,1.177,0.458,4.428,7.765,0.889,0.968,0.616
0.1,1.362,1.125,0.564,4.232,7.61,0.826,1.068,2.394
0.1,1.273,1.097,0.508,3.727,7.273,1.161,0.797,0.229
0.1,1.358,1.147,0.536,4.448,7.715,0.844,1.094,-0.521
0.1,1.3,1.163,0.448,4.256,7.572,1.118,0.872,-0.147
0.1,1.236,1.178,0.301,4.165,7.445,1.049,0.98,0.614
0.1,1.277,1.256,0.177,4.371,7.722,0.984,1.038,0.377
0.1,1.342,1.159,0.504,4.373,7.699,0.864,1.195,-0.082
0.1,1.261,1.24,0.185,4.363,7.709,1.018,1.026,-0.179
0.1,1.269,1.144,0.433,4.057,7.432,1.109,0.943,-0.524
0.1,1.388,1.046,0.657,3.922,7.412,0.754,1.188,0.302
0.1,1.297,1.091,0.541,3.7,7.243,0.841,1.199,0.002
0.1,1.329,1.276,0.281,4.804,7.998,0.96,1.025,0.101
0.2,1.318,1.075,0.578,4.117,7.454,0.816,1.206,-0.23
0.2,1.298,1.188,0.402,4.299,7.642,1.092,0.876,0.108
0.2,1.285,1.146,0.453,4.331,7.585,0.891,0.98,5.401
