true_angle,semi_major_axis,semi_minor_axis,eccentricity,convex_hull_area,convex_hull_perimeter,eccentricity_ratio,aspect_ratio
0.0,1.317,1.174,0.453,4.158,7.534,0.892,1.01
0.0,1.311,1.189,0.421,4.325,7.719,0.907,1.079
0.0,1.29,1.281,0.117,4.627,7.901,0.993,1.067
0.0,1.233,1.182,0.283,4.191,7.471,1.043,0.974
0.0,1.275,1.15,0.43,4.12,7.455,0.903,1.115
0.0,1.319,1.257,0.303,4.459,7.79,1.049,0.979
0.0,1.245,1.207,0.245,4.254,7.538,0.97,1.093
0.0,1.312,1.087,0.56,3.876,7.455,0.828,0.962
0.0,1.293,1.191,0.39,4.178,7.565,0.921,1.009
0.0,1.327,1.044,0.617,3.926,7.297,1.271,0.785
0.0,1.294,1.245,0.274,4.671,7.855,0.962,1.057
0.0,1.321,1.214,0.394,4.592,7.834,0.919,1.028
0.0,1.409,1.159,0.569,4.506,7.82,1.216,0.845
0.0,1.369,1.076,0.618,3.779,7.351,1.272,0.861
0.0,1.329,1.237,0.365,4.722,7.887,0.931,1.024
0.0,1.284,1.202,0.351,4.12,7.522,0.936,1.095
0.0,1.387,1.075,0.632,4.095,7.569,0.775,1.233
0.0,1.322,1.224,0.376,4.296,7.685,0.927,1.094
0.0,1.309,1.211,0.378,4.675,7.896,0.926,1.064
0.0,1.332,1.302,0.212,5.019,8.128,1.023,0.993
0.0,1.265,1.216,0.277,4.281,7.588,1.041,1.026
0.0,1.245,1.075,0.505,3.63,7.085,0.863,1.197
0.0,1.205,1.177,0.215,4.153,7.386,0.977,1.023
0.0,1.307,1.143,0.485,4.37,7.65,1.143,0.918
0.0,1.34,1.142,0.523,4.078,7.496,1.173,0.984
0.0,1.308,1.279,0.207,4.675,7.909,0.978,1.028
0.0,1.278,1.243,0.231,4.336,7.663,1.028,0.99
0.0,1.349,1.265,0.346,4.827,8.018,1.066,0.93
0.0,1.306,1.145,0.482,4.261,7.565,1.141,0.897
0.0,1.281,1.149,0.442,4.201,7.496,1.115,0.888
0.0,1.431,1.11,0.631,4.335,7.734,0.776,1.131
0.0,1.31,1.235,0.333,4.603,7.88,1.06,0.981
0.0,1.243,1.187,0.296,4.254,7.489,0.955,0.949
0.0,1.29,1.205,0.358,4.347,7.663,0.934,1.031
0.0,1.306,1.209,0.378,4.396,7.696,0.926,1.027
0.0,1.295,1.166,0.435,4.16,7.5,0.9,1.053
0.0,1.263,1.166,0.385,4.094,7.495,1.083,0.967
0.0,1.337,1.172,0.481,4.371,7.762,1.141,0.943
0.0,1.32,1.252,0.317,4.796,8.0,0.948,1.006
0.0,1.364,1.156,0.531,4.603,7.849,1.18,0.863
0.0,1.298,1.278,0.177,4.513,7.83,0.984,1.12
0.0,1.303,1.205,0.38,4.521,7.717,0.925,1.025
