true_angle,semi_major_axis,semi_minor_axis,eccentricity,mean_x,mean_y,std_x,std_y
0,1.389,1.152,0.558,-3.498,0.001,0.551,0.556
0,1.354,1.179,0.492,-3.498,0.001,0.551,0.556
0,1.296,1.192,0.393,-3.498,0.001,0.551,0.556
0,1.288,1.281,0.103,-3.498,0.001,0.551,0.556
0,1.299,1.103,0.528,-3.498,0.001,0.551,0.556
0,1.306,1.134,0.496,-3.498,0.001,0.551,0.556
0,1.282,1.103,0.51,-3.498,0.001,0.551,0.556
0,1.339,1.199,0.446,-3.498,0.001,0.551,0.556
0,1.283,1.135,0.467,-3.498,0.001,0.551,0.556
0,1.346,1.084,0.593,-3.498,0.001,0.551,0.556
0,1.325,1.206,0.414,-3.498,0.001,0.551,0.556
0,1.322,1.195,0.427,-3.498,0.001,0.551,0.556
0,1.353,1.173,0.498,-3.498,0.001,0.551,0.556
0,1.314,1.207,0.396,-3.498,0.001,0.551,0.556
0,1.248,1.164,0.361,-3.498,0.001,0.551,0.556
0,1.215,1.082,0.455,-3.498,0.001,0.551,0.556
0,1.272,1.211,0.307,-3.498,0.001,0.551,0.556
0,1.317,1.167,0.464,-3.498,0.001,0.551,0.556
0,1.205,1.114,0.38,-3.498,0.001,0.551,0.556
0,1.313,1.063,0.588,-3.498,0.001,0.551,0.556
0,1.299,1.137,0.484,-3.498,0.001,0.551,0.556
0,1.283,1.212,0.328,-3.498,0.001,0.551,0.556
0,1.201,1.053,0.48,-3.498,0.001,0.551,0.556
0,1.22,1.18,0.252,-3.498,0.001,0.551,0.556
0,1.309,1.111,0.528,-3.498,0.001,0.551,0.556
0,1.243,1.21,0.23,-3.498,0.001,0.551,0.556
0,1.317,1.092,0.559,-3.498,0.001,0.551,0.556
0,1.347,1.196,0.46,-3.498,0.001,0.551,0.556
0,1.339,1.249,0.361,-3.498,0.001,0.551,0.556
0,1.313,1.281,0.219,-3.498,0.001,0.551,0.556
0,1.275,1.116,0.484,-3.498,0.001,0.551,0.556
0,1.333,1.166,0.484,-3.498,0.001,0.551,0.556
0,1.301,1.089,0.547,-3.498,0.001,0.551,0.556
0,1.271,1.124,0.468,-3.498,0.001,0.551,0.556
